Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price,City
Halong Bay Noodle House,Vietnamese,Vietnamese,Vietnamese,4.0,"16971 127 Street NW, Edmonton",53.6319339503734,-113.539941883853,56,505.6050353804598,17803716800,False,$$,Edmonton
Memphis Blues Barbeque House,"Barbeque, Whiskey Bars","Barbeque, Whiskey Bars",NA,3.0,"16907 127 Street NW, Edmonton",53.6307499,-113.5392564,61,589.9397481961237,17804796227,False,$$,Edmonton
Denny's,"Breakfast & Brunch, American",Breakfast & Brunch,American,3.5,"16711 127 Street, Edmonton",53.6296698,-113.5408665,7,739.1413979755677,17804573265,False,$$,Edmonton
Panda Express,"Chinese, Fast Food",Fast Food,Chinese,3.0,"16704 127th St NW, Edmonton",53.6305167,-113.5412121,33,681.2678636717711,17804578056,False,$$,Edmonton
Royal Pizza,Pizza,Pizza,NA,3.0,"16721 127 Street, Edmonton",53.6301570239027,-113.537069941158,27,601.1873567461297,17804762241,False,$$,Edmonton
Teriyaki Corner,Japanese,Japanese,Japanese,3.0,"16815 127 Street NW, Edmonton",53.6303348935283,-113.54025468882,22,662.6863804447119,17804846325,False,$$,Edmonton
kb&co,"Juice Bars & Smoothies, Coffee & Tea, Sandwiches","Juice Bars & Smoothies, Coffee & Tea, Sandwiches",NA,5.0,"16715 127 Street, Edmonton",53.62949,-113.53886,2,734.4185373406592,17804726931,False,$$,Edmonton
Shawarma Shack & Donair,"Middle Eastern, Burgers",Burgers,Middle Eastern,4.5,"12432 167 Ave NW, Edmonton",53.6296397543399,-113.537738956511,2,667.7889768664661,17802508845,False,$$,Edmonton
Bar Burrito,"Mexican, Fast Food",Fast Food,Mexican,2.5,"16955 127 Street NW, Edmonton",53.6319636260914,-113.53912360531754,7,470.1770814602197,17802492090,False,$$,Edmonton
Apna Dhaba,"Indian, Desserts, Burgers","Desserts, Burgers",Indian,4.0,"16741 127 Street NW, Edmonton",53.6301869,-113.53874738400208,1,632.0560946692775,17807522061,False,$$,Edmonton
