Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price
Viana Grillades Portugaises,Portuguese,,,4.5,"2042 Rue Lapierre, LaSalle",45.43658,-73.61502,36,224.0156412294224,+15143796789,False,$$
Restaurant  Kyomi,Pan Asian,,Pan Asian,3.5,"7660 Boulevard Newman, Lasalle",45.43849,-73.622699,35,456.5114015349243,+15143633602,False,$$$
Redipizza,"Pizza, Sandwiches, Salad","Pizza, Sandwiches",,4.5,"2074 Rue Thierry, Montreal",45.4365941860078,-73.626679823748,9,679.2245856652318,+15143654141,False,N/A
Eggsquis,Breakfast & Brunch,,,4.0,"7401 boulevard Newman, Lasalle",45.440670902707,-73.6211917245197,11,572.2915480034723,+15143680333,False,$$
Rabu Sushi,Sushi Bars,Sushi Bars,,4.5,"7824 Boulevard Champlain, Montreal",45.4286443,-73.6094745,13,1057.7200340413633,+15143647228,False,$$
Sous Le Palmier,Haitian,,,3.5,"2038 LaPierre, Montreal",45.4368219,-73.6150237,7,249.07735294609031,+15145953444,False,N/A
Casa Grecque Restaurants,Greek,,Greek,3.5,"7218 Newman Boulevard, Lasalle",45.44238,-73.61586,16,713.4069710405413,+15143640494,False,$$
Tim Hortons,"Coffee & Tea, Breakfast & Brunch",Coffee & Tea,,4.0,"8080 Boul Champlain, Lasalle",45.42748,-73.61071,5,1107.0264609132194,+15143682114,False,$
Cora,Breakfast & Brunch,,,4.0,"7573 Boulevard Newman, Lasalle",45.4401298174482,-73.6224425342749,6,571.8729992393089,+15143645884,False,N/A
Coco Frutti,Breakfast & Brunch,,,4.5,"7741 Boulevard Newman, Montreal",45.438423,-73.624646,3,581.882440998304,+14383876793,False,N/A
Harvey's,"Burgers, Fast Food, Canadian (New)","Burgers, Fast Food",Canadian (New),4.0,"7881 Boul Newman, Lasalle",45.4369,-73.62563,5,614.4274704739755,+15143638616,False,$
Chez Ping,Dim Sum,,,3.5,"7401 Boul Newman, LaSalle",45.4410248,-73.620079,16,551.2569805679116,+15145951888,False,$$
Petinos,"Breakfast & Brunch, Coffee & Tea, Burgers","Coffee & Tea, Burgers",,4.0,"7203 Boulevard Newman, Lasalle",45.443158312834285,-73.6170263196278,4,796.0083705740403,+15144196969,False,N/A
Nawab-e Punjab,"Indian, Cocktail Bars",Cocktail Bars,Indian,3.5,"7681 Boulevard Newman, Lasalle",45.43827,-73.62452,6,529.131210371201,+15143634444,False,N/A
Centrale Bergham,"Burgers, Sandwiches","Burgers, Sandwiches",,4.0,"7773 Boulevard Newman, Montreal",45.43827,-73.62452,3,583.8354863736237,+15143793777,False,$$
Excellente Fondue Chinoise,"Hot Pot, Chinese",,Chinese,2.5,"2036 Rue Lapierre, Montreal",45.4365480757927,-73.6150213135961,4,240.23404858907398,N/A,False,N/A
Newman Steakhouse,"Steakhouses, Desserts, Seafood","Steakhouses, Desserts, Seafood",,5.0,"7205 Boulevard Newman, Montreal",45.44301,-73.61718,1,778.5618527024083,+15143036850,False,N/A
Subway,"Sandwiches, Fast Food","Sandwiches, Fast Food",,3.5,"7919 Boulevard Newman, Lasalle",45.43642,-73.62613,5,634.2195186364189,+15143645151,False,$
Restaurant Peddlers,Canadian (New),,Canadian (New),3.0,"7500 Newman Boulevard, Lasalle",45.43994,-73.6207699,10,492.28975346742027,+15143647204,False,$$
Marchigiani,"Sandwiches, Butcher",Sandwiches,,5.0,"7790 Rue Juliette, Lasalle",45.4375804,-73.6259188,1,638.0564482168231,+15144896819,False,N/A
New Lasalle,Pizza,Pizza,,3.5,"1715 Rue Thierry, LaSalle",45.4364445,-73.62417200000002,6,482.8512354253383,+15143668520,False,$$
Kazo Ramen,Ramen,,,5.0,"7569 Boulevard Newman, Montreal",45.440352269353255,-73.6224292,4,591.1578643235126,+15148002375,False,N/A
Sorriso,Italian,,Italian,3.0,"7681 Boulevard Newman, Montreal",45.43827,-73.62452,2,529.131210371201,+15143653131,False,$$
Pizza Hut,"Pizza, Chicken Wings, Fast Food","Pizza, Fast Food",,2.5,"7575 Boulevard Newman, Lasalle",45.440146,-73.622586,17,580.2733699205244,+15145953944,False,$
A&W,"Burgers, Fast Food","Burgers, Fast Food",,2.0,"7610 Boulevard Newman, Montreal",45.438992,-73.6219934,2,452.5231679056059,+15143687770,False,N/A
Boustan,Lebanese,,,3.5,"7757 Boulevard Newman, Lasalle",45.4382685,-73.6245212,2,575.8596237418667,+14383803003,False,N/A
PFK,"Fast Food, Chicken Wings, Chicken Shop",Fast Food,,1.5,"1551 Boulevard Shevchenko, LaSalle",45.4316981,-73.6251069,14,734.0825834571732,+15143636660,False,N/A
Pizza Pizza,Pizza,Pizza,,3.5,"7745 Boulevard Newman, Lasalle",45.43827,-73.62452,4,581.2273524110365,+15147371111,False,N/A
Le Taklamakan,Chinese,,Chinese,4.5,"7401 Boulevard Newman, Lasalle",45.440799552451054,-73.6214885349703,2,595.4034357240894,+15143650005,False,N/A
Café Intervallo Bistro-Bar,Cafes,Cafes,,5.0,"7786 Boulevard Newman, Lasalle",45.4370199,-73.62411,2,485.2864371302811,+15143644838,False,N/A
Mon Tacos,"Mexican, Poutineries, Fast Food",Fast Food,Mexican,1.0,"7773b Boulevard Newman, Lasalle",45.437788408459966,-73.62508278340101,1,585.2438249666997,+15143793777,False,N/A
Pizza Boom,Pizza,Pizza,,5.0,"1711 Rue Thierry, Lasalle",45.43638,-73.6240399,1,475.8924716242551,+15143688000,False,N/A
O'Sushi,Japanese,,Japanese,3.0,"7577 Newman Boul, Lasalle",45.4397241,-73.622271,6,579.02706287279,+15143665777,False,N/A
Sushi Newman,"Japanese, Sushi Bars",Sushi Bars,Japanese,3.5,"7763 Boulevard Newman, Lasalle",45.437975,-73.624881,4,577.852803589809,+15143638888,False,N/A
Archibald Microbrasserie,"Salad, Burgers, Pizza","Burgers, Pizza",,3.5,"Aeroport de Montreal, Dorval",45.4578596,-73.7508919,95,458.9825448390757,+15146879977,False,$$
QDC Burger,"Burgers, Fast Food","Burgers, Fast Food",,3.0,"Zone réglementée - International, Dorval",45.461012,-73.748818,19,92.10889433754488,+15146336773,False,$$
Pork & Pickle,"Pubs, Barbeque","Pubs, Barbeque",,3.5,"975 Boulevard Roméo-Vachon N, Dorval",45.4583439,-73.7485196,40,388.0585945060054,+15146339972,False,$$
Paramount,"Lebanese, Halal",,,4.0,"975 Boulevard Roméo-Vachon N, Dorval",45.45859025339542,-73.74843115782532,9,361.9312252470208,+15145533993,False,N/A
UBar Resto Bar,"Bars, Burgers, Pizza","Bars, Burgers, Pizza",,3.5,"975 Boulevard Roméo Vachon N, Dorval",45.458758,-73.75307,20,455.77229093288304,+15146316134,False,$$
Eclipse Restaurant,"American, Bars",Bars,American,3.0,"Sheraton Montreal Airport Hotel, Dorval",45.453336,-73.741778,20,1103.7800073360843,+15146312411,False,$$
Restaurant Houston Steaks et Cotes Levees,Steakhouses,Steakhouses,,2.0,"Aeroport Trudeau Montreal, Dorval",45.4560993506395,-73.7531246952869,132,705.728243094831,N/A,False,$$
Hurley's à Yul,"Pubs, Irish",Pubs,Irish,3.0,"975 Boulevard Roméo-Vachon N, Dorval",45.4554840592903,-73.7542613470261,56,807.6006832727822,+15147731185,False,$$
Bijou Resto Bar,"Bars, Canadian (New)",Bars,Canadian (New),3.5,"800 Place Leigh Capreol, Dorval",45.45605547782233,-73.75219314415148,21,681.6302975798387,+15148285117,False,$$$
