Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price
JOEY Lansdowne,"Canadian (New), Lounges, Steakhouses",Steakhouses,Canadian (New),4.0,"825 Exhibition Way, Ottawa",45.3996582,-75.6841064,126,916.2937781216104,+16136955639,False,$$
The Belmont,"Tapas/Small Plates, Cocktail Bars",Cocktail Bars,,4.5,"1169 Bank Street, Ottawa",45.3922882,-75.6816711,29,213.09541692950899,+16139793663,False,$$
Pelican Seafood Market & Grill,"Seafood, Seafood Markets","Seafood, Seafood Markets",,4.5,"1500 Bank Street, Ottawa",45.38109810509447,-75.6704451227539,139,1590.1694440588403,+16135265229,False,$$
Oat Couture Oatmeal Cafe,"Breakfast & Brunch, Coffee & Tea, Cafes","Coffee & Tea, Cafes",,4.5,"1154 Bank Street, Ottawa",45.39299,-75.68284,30,192.8481167298505,+16137376654,False,N/A
Stella Luna Gelato Cafe,"Ice Cream & Frozen Yogurt, Desserts, Cafes","Desserts, Cafes",,4.5,"1103 Bank St, Ottawa",45.39396,-75.68289,137,276.7568598412689,+16135231116,False,$
The Rowan,"British, Gastropubs",Gastropubs,British,4.5,"915 Bank Street, Ottawa",45.4002413,-75.6866117,26,976.8613750221745,+16137809292,False,$$
Green Door Vegetarian Restaurant & Bakery,"Vegetarian, Buffets, Vegan",,,4.5,"198 Main Street, Ottawa",45.4082384,-75.6777072,146,1964.6551352901283,+16132349597,False,$$
Table Sodam,Korean,,Korean,4.0,"1200 Bank St, Ottawa",45.3916033198968,-75.6813115713128,35,233.33372948317276,+13434888036,False,N/A
Quinn's Ale House,"Pubs, Burgers, Beer Bar","Pubs, Burgers, Beer Bar",,4.5,"1070 Bank Street, Ottawa",45.39461,-75.68392,21,363.08704025513384,+16135232200,False,$$
Jack's Astor's,"Canadian (New), Burgers",Burgers,Canadian (New),4.0,"425 Marché Way, Ottawa",45.40081895158407,-75.68293719447962,33,1033.004337145257,+16135654862,False,$$
Jericho Lebanese Food,"Mediterranean, Lebanese",,Mediterranean,4.5,"840 Bank Street, Ottawa",45.40182,-75.68798,40,1178.6157807202633,+16132351289,False,$$
Patty's Pub,"Irish, Pubs",Pubs,Irish,3.5,"1186 Bank Street, Ottawa",45.3919051,-75.6817006,34,196.0159175882101,+16137302434,False,$$
Feleena's,"Mexican, Wine Bars, Cocktail Bars","Wine Bars, Cocktail Bars",Mexican,3.5,"742 Bank Street, Ottawa",45.40379239149827,-75.68899860772218,67,1406.8315306094078,+16132332010,False,$$
Local Public Eatery,"Burgers, Salad, Cocktail Bars","Burgers, Cocktail Bars",,3.5,"826 Exhibition Way, Ottawa",45.39988792850766,-75.68403571778066,87,924.2179804342446,+16132333772,False,$$
Pomelo Hat,"Bubble Tea, Juice Bars & Smoothies, Breakfast & Brunch",Juice Bars & Smoothies,,5.0,"1196 Bank Street, Ottawa",45.3916297,-75.6813734,8,227.9304557748404,+18193197199,False,N/A
Erling's Variety,"Tapas/Small Plates, Wine Bars",Wine Bars,,4.0,"225 Strathcona Avenue, Ottawa",45.407635,-75.690519,33,1850.2808736933878,+16132318484,False,$$$
Black Squirrel Books & Espresso Bar,"Bookstores, Cafes",Cafes,,4.5,"1073 Bank Street, Ottawa",45.394656,-75.683501,18,347.858411715081,+16134229050,False,$
Allo Mon Coco,Breakfast & Brunch,,,4.0,"2277 Riverside Drive, Ottawa",45.3865978,-75.6799004,44,820.3075574721514,+16137892626,False,N/A
Hareg Cafe,Ethiopian,,Ethiopian,4.5,"587 Bank Street, Ottawa",45.4079462,-75.6909956,28,1888.0944977753134,+16136952488,False,$$
Wild Oat Bakery Cafe and Farm,"Bakeries, Vegan, Creperies",,,4.0,"817 Bank Street, Ottawa",45.4025123,-75.6879643,47,1249.0249230280456,+16132326232,False,$$
The WORKS Gourmet Burger Bistro,"Burgers, Poutineries",Burgers,,3.5,"580 Bank Street, Ottawa",45.40779,-75.69143,120,1888.187349433223,+16132350406,False,$$
CRAFT Beer Market,"Canadian (New), Breakfast & Brunch, Beer Bar",Beer Bar,Canadian (New),3.0,"975 Bank Street, Ottawa",45.39873140432882,-75.6856081902381,67,801.9265099567191,+16134227238,False,$$
Sula Wok,Asian Fusion,,Asian Fusion,4.5,"184 Main Street, Ottawa",45.4089542184391,-75.678225941956,23,1989.4519471025287,+16138907852,False,$
Cinnaholic,"Vegan, Bakeries, Desserts",Desserts,,4.5,"900 Exhibition Way, Ottawa",45.399383,-75.684093,16,867.9928067046881,+16135632867,False,N/A
Ramen Isshin,Ramen,,,4.5,"775 Bank Street, Ottawa",45.4035832,-75.6885066,18,1379.1701748486812,+16134216600,False,N/A
Crust & Crate Public House,"Gastropubs, Pizza","Gastropubs, Pizza",,3.5,"325 Marché Way, Ottawa",45.4003019402947,-75.6836077362385,44,971.5269926042718,+16132345959,False,$$
Sweet Basil Restaurant,"Thai, Noodles",,Thai,4.0,"1585 Bank Street, Ottawa",45.3790246091381,-75.667414202922,26,1920.2726755635358,+16137318424,False,$$
Cantina Gia,"Wine Bars, Italian",Wine Bars,Italian,4.0,"749 Bank St, Ottawa",45.404235,-75.688741,20,1452.8151024112815,+16135690464,False,N/A
Crazy Pho You,"Vietnamese, Chinese, Thai",,"Vietnamese, Chinese, Thai",4.5,"696 Bronson Avenue, Ottawa",45.401810625023586,-75.7003019135644,12,1689.8933916682176,+16134210942,False,$$
Anthony's,Pizza,Pizza,,4.0,"753 Bank Street, Ottawa",45.40417,-75.6887,23,1444.7730221258284,+16136959669,False,$$
Mad Radish,"Salad, Juice Bars & Smoothies, Sandwiches","Juice Bars & Smoothies, Sandwiches",,4.0,"859 Bank St, Ottawa",45.40134,-75.68722,23,1110.653044399185,+16134214564,False,$$
SEN Asian Cuisine,Asian Fusion,,Asian Fusion,3.5,"200 Marché Way, Ottawa",45.3999397130585,-75.6844164210787,22,929.7915221779992,+16132320111,False,$$
Wei's Noodle House,"Vietnamese, Noodles",,Vietnamese,4.0,"610 Bronson Ave, Ottawa",45.40406,-75.70179,23,1947.1108311507344,+16132306815,False,$
Mahal Tanjore,Indian,,Indian,3.5,"108 Third Avenue, Ottawa",45.40308,-75.68761,28,1304.305635473844,+16136951969,False,N/A
Milestones Restaurants,"Comfort Food, Bars, Canadian (New)",Bars,Canadian (New),3.0,"325 Marche Way, Ottawa",45.4003543303772,-75.6840618112936,25,976.0263882227774,+16136951669,False,$$
The Clocktower Brew Pub,"Breweries, Pubs, Canadian (New)",Pubs,Canadian (New),3.0,"575 Bank Street, Ottawa",45.40835,-75.69108,45,1943.7201434908152,N/A,False,$$
Last Train To Delhi,Indian,,Indian,5.0,"103 Fourth Avenue, Ottawa",45.402736287842,-75.6874985217538,5,1265.6046055091088,+16138820035,False,N/A
Kiramaki Sushi,"Sushi Bars, Japanese",Sushi Bars,Japanese,4.5,"1196 Bank Street, Ottawa",45.391697681004814,-75.68138558417559,3,227.9244181659161,N/A,False,N/A
Paper Tiger Noodle Bar,"Ramen, Asian Fusion, Cocktail Bars",Cocktail Bars,Asian Fusion,4.0,"1091 Bank Street, Ottawa",45.3941534,-75.68319029999999,5,299.1507826114294,+16135212125,False,N/A
La Strada Restaurant,Italian,,Italian,4.5,"697 Bank Street, Ottawa",45.4054338,-75.6895659,16,1593.8080443954998,+16135672066,False,$$$
