Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price
Le Fin Gourmet,"Canadian (New), Burgers, Breakfast & Brunch",Burgers,Canadian (New),4.5,"774 Rue Raoul-Jobin, Quebec City",46.80685,-71.24584,15,2175.4817573418322,+14186825849,False,$$
L'Oeuforie,"Steakhouses, Breakfast & Brunch",Steakhouses,,4.0,"850 Boulevard Pierre-Bertrand, Vanier",46.826615,-71.273329,7,897.7482300887174,+14186814419,False,$$
Casa Grecque,Greek,,Greek,4.0,"955 Boulevard Pierre-Bertrand, Quebec City",46.82717,-71.27568,5,1108.4445752642457,+14185271210,False,N/A
Le Soleil Rouge,Breakfast & Brunch,,,5.0,"380A Avenue Turcotte, Ville de Québec",46.82148,-71.25752,2,450.2404007839291,N/A,False,N/A
Chez Ashton,"Burgers, Hot Dogs, Poutineries",Burgers,,4.0,"550 Boulevard Wilfrid-Hamel, Quebec City",46.8214402116653,-71.2516074255109,1,908.555721795638,+14186480895,False,N/A
Restaurant Au Vieux Duluth,Restaurants,,,4.5,"371 Rue Soumande, Quebec City",46.82015,-71.25508,3,674.3138592524213,+14186817274,False,N/A
Viva,"Modern European, Italian",,"Modern European, Italian",5.0,"670 Rue Bouvier, Quebec City",46.8352525533646,-71.27337154001,2,1639.564195730211,+14189149956,False,N/A
Rôtisserie Scores,"Barbeque, Chicken Shop",Barbeque,,3.5,"710 Rue Bouvier, Quebec City",46.834365,-71.274545,7,1597.5669675111976,+14186237777,False,$$
East Side Mario's,"Italian, Pizza",Pizza,Italian,3.5,"550 Boulevard Wilfrid-Hamel, Quebec City",46.82281889414948,-71.2505606116567,3,987.6719652591854,+14186482922,False,$$
Pacini,Italian,,Italian,2.0,"245 Rue Soumande, Quebec City",46.8182199,-71.25336,2,921.0259936707857,+14185278623,False,$$
Harvey's,"Burgers, Fast Food, American","Burgers, Fast Food",American,5.0,"1095 Boul Wilfrid Hamel, Quebec",46.80879,-71.26043,1,1478.9907065817326,+14186837313,False,N/A
A&W,"Fast Food, Burgers","Fast Food, Burgers",,3.5,"552 Boulevard Wilfrid-Hamel, Quebec City",46.822166,-71.251335,2,925.9048463111801,+14186401540,False,$
Au Petit Chalet,"Breakfast & Brunch, Burgers",Burgers,,3.5,"840 Rue Bouvier, Quebec City",46.833329,-71.278168,3,1670.3336954857546,+14185279009,False,N/A
Cécile et Ramone,"Breakfast & Brunch, Music Venues, American",,American,3.0,"1061, Boulevard Pierre-Bertrand, Quebec City",46.8287079,-71.2768052,8,1247.7293972311556,+14186817625,False,N/A
Domino's Pizza,"Pizza, Chicken Wings, Sandwiches","Pizza, Sandwiches",,4.0,"680 Boulevard Wilfrid-Hamel, Quebec City",46.81469179707332,-71.2531892287202,1,1141.3456569572961,+14186813363,False,$$
Normandin,"Burgers, Pizza","Burgers, Pizza",,3.0,"986 Rue Bouvier, Quebec City",46.83276,-71.27898,15,1661.457486390429,+14186271265,False,$$
Mysa Sushi,Sushi Bars,Sushi Bars,,4.5,"Centre commercial Fleur de Lys, Quebec City",46.822082356731,-71.251467615366,2,915.8376359319882,+14185690595,False,$
Tonton,"Salad, Canadian (New), Sandwiches",Sandwiches,Canadian (New),5.0,"655 Rue Saint-Vallier O, Quebec City",46.80992,-71.245606,1,1925.9066300268457,+14184540993,False,N/A
Sushi Taxi - Lebourgneuf,"Sushi Bars, Japanese",Sushi Bars,Japanese,3.5,"670 Rue Bouvier, Quebec City",46.83449,-71.272,6,1542.443507055898,+14186272020,False,$$$
Pizza Salvatoré,"Pizza, Poutineries",Pizza,,2.5,"980 Rue Bouvier, Quebec City",46.83286608643389,-71.27825218991013,2,1637.192754798113,+14186246666,False,N/A
Quesada Burritos & Tacos,Mexican,,Mexican,2.5,"575 Boulevard Wilfrid-Hamel, Quebec City",46.81704,-71.2492199,2,1190.4265679625191,+14185238226,False,N/A
Cora,Breakfast & Brunch,,,4.0,"Quebec, Chicoutimi",46.8340450045758,-71.2749104285468,1,1582.4861998416186,N/A,False,N/A
Chez Diane,"Pizza, Breakfast & Brunch, Poutineries",Pizza,,5.0,"695 Avenue Godin, Quebec City",46.8195,-71.2771,1,1049.1866096309668,+14186811645,False,N/A
Resto Vanier,"Canadian (New), Fast Food",Fast Food,Canadian (New),5.0,"227 Avenue Bélanger, Quebec City",46.815,-71.25766,1,901.3469954586928,+14185273025,False,N/A
Café de La Vie,"Cafes, Asian Fusion",Cafes,Asian Fusion,3.0,"600 Rue Bouvier, Quebec City",46.8334606,-71.2760758,1,1580.5826441010659,+14186241783,False,N/A
Pizza Royale,Pizza,Pizza,,3.5,"623 Boul Wilfrid-Hamel, Quebec City",46.8147,-71.25174,2,1185.0822582491332,+14186831544,False,$$
Tim Hortons,"Coffee & Tea, Breakfast & Brunch",Coffee & Tea,,2.0,"589 Boulevard Wilfrid-hamel, Quebec City",46.81669,-71.24984,1,1192.2997233434578,+14185241759,False,$$
Boston Pizza,"Pizza, Salad, Sandwiches","Pizza, Sandwiches",,2.0,"4500 Boulevard des Gradins, Quebec City",46.83574,-71.27066,4,1648.867333189657,+14186233323,False,$$
Yeh! Yogourt Glacé & Café,"Cafes, Ice Cream & Frozen Yogurt, Creperies",Cafes,,2.0,"552 Boulevard Wilfrid-Hamel, Quebec City",46.8204193,-71.2489471,1,1033.719272061209,+14185213333,False,N/A
McDonald's,"Fast Food, Burgers","Fast Food, Burgers",,1.0,"760 Rue Bouvier, Quebec City",46.833662,-71.27693,1,1638.1803910120364,+14186277300,False,N/A
Sushi X,Sushi Bars,Sushi Bars,,3.0,"840 rue Bouvier, Quebec City",46.8333019,-71.2781954,6,1669.9145615456675,+14186264848,False,N/A
Sushi X,Sushi Bars,Sushi Bars,,1.0,"840 Rue Bouvier, Quebec City",46.833329,-71.278168,1,1670.3305153390236,+14186264848,False,N/A
Kyran-Ô-Pizza,Pizza,Pizza,,3.0,"125 Rue Marie de l'Incarnation, Quebec City",46.809719,-71.2469629,3,1868.9909707152938,+14186816208,False,$$
La Shop À Violette,Fast Food,Fast Food,,4.0,"695 Avenue Godin, Quebec City",46.8192635,-71.2764282,2,1049.1866096309668,+14186811645,False,N/A
Vietnam Express,"Vietnamese, Thai",,"Vietnamese, Thai",3.0,"3238 1re Avenue, Quebec City",46.8397007021966,-71.2463499168301,1,2348.2247681649974,+14186238288,False,N/A
Burger King Bouvier,"Hot Dogs, Burgers, Fast Food","Burgers, Fast Food",,2.0,"730 Rue Bouvier, Quebec City",46.83381,-71.2757,2,1622.071706697741,+14182609356,False,N/A
Le Café du Clocher Penché,"French, Modern European",,"French, Modern European",4.5,"203, Rue Saint-Joseph E, Quebec City",46.812945,-71.2283006,126,710.1165518524155,+14186400597,False,$$$
Le Billig,"Creperies, French",,French,4.5,"481 Rue Saint-Jean, Quebec City",46.809379,-71.221245,590,1342.0847804646633,+14185248341,False,$$
Le Hobbit,French,,French,4.0,"700 Rue Saint Jean, Quebec City",46.81073792579695,-71.21872970753918,439,1371.614452086013,+14186472677,False,$$
Buvette Scott,"Canadian (New), Bars",Bars,Canadian (New),5.0,"821 Rue Scott, Quebec City",46.809244,-71.221158,177,1357.8401780772795,+15817414464,False,$$$
La Korrigane,Brasseries,,,4.0,"380 Rue Dorchester, Quebec City",46.8139238,-71.2268096,74,682.7570595067929,+14186140932,False,$$
Nina Pizza Napolitaine,Pizza,Pizza,,4.5,"410 Rue Saint-Anselme, Quebec City",46.812263,-71.2297736,70,738.0474696901006,+15817422012,False,$$
Patente et Machin,Canadian (New),,Canadian (New),4.5,"82 Rue Saint-Joseph O, Quebec City",46.811604,-71.23293230061206,70,779.5735251523234,+15819813999,False,$$$
Poutineville,"Burgers, Sandwiches, Poutineries","Burgers, Sandwiches",,4.0,"735 Rue Saint-Joseph E, Quebec City",46.815872,-71.219806,132,1020.4420805807822,+15819818188,False,$$
Ophelia,"Seafood, Steakhouses","Seafood, Steakhouses",,4.5,"634 Grande Allée E, Quebec City",46.806534,-71.216661,72,1809.8804431115657,+14185248228,False,$$$
Le Bureau de Poste,"Bars, Comfort Food, American",Bars,American,4.0,"296 Rue Saint Joseph E, Quebec City",46.8136979,-71.2266983,102,707.4715371376583,+14189146161,False,$
Ciel! Bistro-bar,French,,French,4.0,"1225 Cours Du Général De Montcalm, Quebec City",46.80513,-71.2171478,122,1888.7622420158366,+14186405802,False,$$$
Phil Smoked Meat,"Sandwiches, Steakhouses, Poutineries","Sandwiches, Steakhouses",,4.5,"461 Rue Saint-Joseph E, Quebec City",46.814351,-71.223838,35,818.2081979063023,+14185234545,False,$$
La Gueule de Bois,"Canadian (New), French",,"Canadian (New), French",5.0,"207 Rue Saint-Vallier E, Quebec City",46.8114725,-71.2272984,26,890.6066696465573,+14183530505,False,$$$
Le Croquembouche Pâtissier et traiteur,"Bakeries, Sandwiches, Chocolatiers & Shops",Sandwiches,,4.5,"225 Rue Saint-Joseph E, Quebec City",46.81299,-71.22776,123,720.1317526074387,+14185239009,False,$
La Planque,"French, Bars",Bars,French,4.5,"1027 3e Avenue, Quebec City",46.8266,-71.23032,32,907.9416801962715,+14189148780,False,$$$
Chez Victor,Burgers,Burgers,,4.5,"145 Rue Saint-Jean, Quebec City",46.80774810273562,-71.22577493505287,70,1315.009900179909,+14185297702,False,$$
jjacques,"Cocktail Bars, Seafood, Wine Bars","Cocktail Bars, Seafood, Wine Bars",,5.0,"341 Rue Notre-Dame-des-Anges, Quebec City",46.81356498175653,-71.22557818310779,20,775.0946034361668,+15814913286,False,N/A
Casa Calzone,Italian,,Italian,5.0,"1298 Rue de la Pointe-aux-Lièvres, Quebec City",46.8223786,-71.2415612,26,799.9266468202212,+14185223000,False,$$
Tora-Ya Ramen,Ramen,,,4.5,"75 Rue Saint-Joseph E, Ville de Québec",46.81223,-71.23009,52,725.51147715076,+14187801903,False,$$
Louis Hebert,French,,French,4.5,"668 Grande-Allee Est, Quebec City",46.80681,-71.2162,50,1815.63108470568,+14185257812,False,$$$
Le Bouchon du Pied Bleu,French,,French,4.5,"179 Rue Saint-Vallier O, Quebec City",46.8117099,-71.2345251,21,781.1864128606102,+14189143554,False,$$$
Bistro B,"French, Breakfast & Brunch, Cocktail Bars",Cocktail Bars,French,4.5,"1144 Avenue Cartier, Quebec City",46.8031693,-71.2254715,44,1801.481845269327,+14186145444,False,$$$$
Cendrillon,"Canadian (New), Seafood, Tapas Bars","Seafood, Tapas Bars",Canadian (New),4.5,"1039 3e Avenue, Quebec City",46.82665,-71.23039,25,911.8279690564708,+14189149838,False,$$$
La Boîte à Pain,"Bakeries, Pizza, Sandwiches","Pizza, Sandwiches",,4.5,"289 Rue Saint-Joseph Est, Quebec City",46.81331,-71.22668,106,728.3568766020645,+14186473666,False,$
Ciccio Cafe,Italian,,Italian,4.5,"875 Claire Fontaine, Quebec City",46.80831,-71.22166,61,1416.8152603867675,+14185256161,False,$$
Chez Tao!,"Pan Asian, Cocktail Bars",Cocktail Bars,Pan Asian,4.5,"104 Rue Saint-Vallier O, Quebec City",46.81178,-71.23362,33,760.0094577964034,+14182041850,False,N/A
L'Affaire Est Ketchup,French,,French,4.5,"46 Rue Saint-Joseph E, Quebec City",46.81248,-71.23054,184,704.4664310764936,+14185299020,False,$$$
Soupe et Cie,"Soup, Live/Raw Food",,,4.0,"522 3e Avenue, Quebec City",46.8235699,-71.22678,42,698.3150269639086,+14189488996,False,$$
Deux 22,"Bars, Gastropubs, Beer, Wine & Spirits","Bars, Gastropubs, Beer, Wine & Spirits",,4.5,"222 Saint Joseph, Quebec City",46.8131294,-71.2282562,24,695.0137663579831,+15817425222,False,$$
Chez Gaston,Poutineries,,,4.5,"332 Rue Dorchester, Quebec City",46.814423,-71.2274516,53,608.8270315300655,+14185230677,False,$
L'Atelier,"Canadian (New), Gastropubs, Cocktail Bars","Gastropubs, Cocktail Bars",Canadian (New),4.0,"624, Grande Allée Est, Quebec City",46.806427,-71.2166367,122,1831.2127289106322,+14185222225,False,$$$
Miyagi Bistro Thaï Et Sushi,"Sushi Bars, Thai",Sushi Bars,Thai,4.5,"523, 3e Avenue, Quebec City",46.8233653,-71.2271759,19,665.146764096737,+14186144040,False,$$
Griendel,Brasseries,,,4.0,"195 Rue Saint-Vallier O, Quebec City",46.81169,-71.23481,21,782.2027801353873,+15817422884,False,$$
La Cuisine,"Canadian (New), Pubs",Pubs,Canadian (New),4.0,"205 Rue Saint-Vallier E, Quebec City",46.81129,-71.22726,36,910.0316448669674,+14185233387,False,$$
Bati Bassac,"Thai, Cambodian",,Thai,4.0,"125 Rue Saint-Joseph E, Quebec City",46.81244,-71.22942,34,717.2994581519827,+14185224567,False,$$
La Revanche,"Cafes, Pubs, Cocktail Bars","Cafes, Pubs, Cocktail Bars",,4.5,"585 Charest E, Quebec City",46.8143077,-71.2217516,21,954.5082335464937,+14182635389,False,$$
Boîte à Pain - Café Napoli,"Pizza, Bakeries",Pizza,,4.5,"396 3e Avenue, Quebec City",46.8225431,-71.2261566,16,657.1742290977859,+14189777571,False,$$
Table,"Breakfast & Brunch, Canadian (New)",,Canadian (New),4.0,"395 Rue de la Couronne, Quebec City",46.8146459535995,-71.2238507309931,30,798.8570314657031,+14186472458,False,$$$
Les Sales Gosses,Canadian (New),,Canadian (New),4.5,"620 Rue Saint-Joseph E, Quebec City",46.81532,-71.22166,16,913.4795260648289,+14185225501,False,$$$
Bügel fabrique de bagels,"Breakfast & Brunch, Bagels",,,4.0,"164 rue Crémazie Ouest, Quebec City",46.8043,-71.22869,85,1621.501285452264,+14185237666,False,$$
Au Bonnet d'Âne,"Cafes, Breakfast & Brunch",Cafes,,4.0,"298 Rue Saint-Jean, Quebec City",46.80856,-71.2239,50,1302.1741846195698,+14186473031,False,$$
Frite Alors!,Fast Food,Fast Food,,4.5,"122 Rue Crémazie O, Quebec City",46.804777,-71.227728,21,1582.442257303287,+14186145522,False,$$
Café Pékoe,Cafes,Cafes,,4.5,"433 rue Saint-Joseph Est, Quebec City",46.8142886888472,-71.224225088954,20,798.5265204274102,+14185224888,False,$
La Galette Libanaise,Lebanese,,,4.5,"641 Grande-Allée E, Quebec City",46.80614,-71.21615,43,1860.216644949501,+14189147927,False,$
Brûlerie Saint-Roch,Cafes,Cafes,,4.0,"375 Rue Saint Joseph E, Quebec City",46.81382,-71.22536,26,764.508914089906,+14187044420,False,$
GAO,Vietnamese,,Vietnamese,4.5,"555 Rue Saint-Jean, Quebec City",46.80972,-71.22032,16,1351.7612361886177,+14189145858,False,N/A
Les Salons d'Edgar,"Pool Halls, Modern European, Bars",Bars,Modern European,4.5,"263 Rue Saint-Vallier E, Quebec City",46.81165,-71.22577,10,913.8596403967141,+14185237811,False,$$
La Grolla,Fondue,,,4.0,"815 Côte d'Abraham, Quebec City",46.81256,-71.21766,34,1322.2367821881599,+14185298107,False,$$$$
La Piazzetta,"Pizza, Italian",Pizza,Italian,4.0,"357 Rue Saint-Joseph Est, Quebec City",46.8138654,-71.2256316,18,748.3761693034124,+14185237171,False,$$
Montego,Italian,,Italian,4.5,"1460 Avenue Maguire, Quebec City",46.7795463,-71.2495237,16,797.7316866173994,+14186887991,False,$$$
Pizzéria No 900 Napolitaine,Pizza,Pizza,,4.5,"1332 Avenue Maguire, Quebec City",46.780923,-71.251234,15,882.2740977185008,+15817425900,False,N/A
Bagel Maguire,"Bagels, Cafes",Cafes,,4.0,"1400 Avenue Maguire, Ville de Québec",46.7804,-71.25052,9,848.2659759001974,+14185272303,False,N/A
Café au Temps Perdu,"Modern European, Pubs, Cafes","Pubs, Cafes",Modern European,4.0,"867 Avenue Myrand, Quebec City",46.78758,-71.26827,14,1852.384453101953,+14186815601,False,$$
Faks Café,"American, Modern European",,"American, Modern European",4.0,"1308 Avenue Maguire, Quebec City",46.78141,-71.25171,7,923.2276555510446,+14186860808,False,$$
L'Épicurien,"Breakfast & Brunch, Creperies, Patisserie/Cake Shop",,,4.5,"1292 Avenue Maguire, Quebec City",46.78163,-71.25198,3,938.9872516987582,+14186143003,False,N/A
Boulangerie Artisanale Paul,"Bakeries, French",,French,4.5,"1646 Chemin Saint-Louis, Quebec City",46.78394,-71.2463099,9,1340.8898025580863,+14186840200,False,$$
Tapas & Liège,Tapas/Small Plates,,,4.5,"1297 Avenue Maguire, Quebec City",46.7814751087321,-71.2524360967997,7,914.2920774317007,+14186532727,False,N/A
Brynd Smoked Meat,"Burgers, Sandwiches, Poutineries","Burgers, Sandwiches",,3.5,"1360 Avenue Maguire, Quebec City",46.78088,-71.25109,12,875.9692168593618,+15817423844,False,$$
Le Pub universitaire,"Gastropubs, Pubs","Gastropubs, Pubs",,3.5,"2325 Rue de l'Université, Quebec City",46.7789466,-71.26952090000002,8,1244.0317063202103,+14186567075,False,$$
Pat Retro,"Fast Food, Diners, Burgers","Fast Food, Burgers",,3.5,"1983 Rue de Bergerville, Quebec City",46.77978,-71.24964,8,820.3481524912024,+14186818536,False,$
La Cuisine Ludique,French,,French,4.0,"840 Avenue Myrand, Quebec City",46.7879229383772,-71.2694092654445,3,1933.343508646413,+14182041777,False,$$
L'Gros Luxe Québec,"Breakfast & Brunch, Canadian (New), Cocktail Bars",Cocktail Bars,Canadian (New),3.0,"859 Avenue Myrand, Quebec City",46.7875841788546,-71.2680278920738,9,1844.6587856967494,+15819815727,False,N/A
Café du Marché,Gastropubs,Gastropubs,,4.5,"2215 Chemin du Fleuve, Lévis",46.75853706059426,-71.23956727857296,2,2047.3753796757435,+14188392525,False,N/A
