Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price
Pai Northern Thai Kitchen,Thai,,Thai,4.5,"18 Duncan Street, Toronto",43.64784,-79.38872,3522,2400.9675505486907,+14169014724,False,$$
Richmond Station,Canadian (New),,Canadian (New),4.5,"1 Richmond Street W, Toronto",43.6513729,-79.379285,912,3222.0532285721893,+16477481444,False,$$$
Mildred's Temple Kitchen,"Breakfast & Brunch, Canadian (New)",,Canadian (New),4.0,"85 Hanna Avenue, Toronto",43.6399108749312,-79.4204235076904,1044,518.5914032078795,+14165885695,False,$$
Gusto 101,Italian,,Italian,4.0,"101 Portland Street, Toronto",43.645002131066,-79.400309337027,1159,1434.3622639378427,+14165049669,False,$$
Byblos,"Mediterranean, Middle Eastern",,"Mediterranean, Middle Eastern",4.5,"11 Duncan Street, Toronto",43.647546,-79.388123,917,2439.9863463525776,+16476600909,False,$$$$
Lee,Asian Fusion,,Asian Fusion,4.0,"497 Richmond Street W, Toronto",43.64719115126137,-79.3993497,723,1543.9221143579216,+14165047867,False,$$$
Khao San Road,Thai,,Thai,4.0,"11 Charlotte Street, Toronto",43.646412027881496,-79.39361985450327,1710,1984.687821004276,+16473525773,False,$$
Mamakas Taverna,"Greek, Mediterranean",,"Greek, Mediterranean",4.0,"80 Ossington Avenue, Toronto",43.64596,-79.41986,242,229.8292726318506,+14165195996,False,$$$
Bar Isabel,"Spanish, Tapas Bars",Tapas Bars,,4.0,"797 College Street, Toronto",43.654631,-79.4207738,472,1174.7150480129542,+14165322222,False,$$$
Canoe,Canadian (New),,Canadian (New),4.0,"66 Wellington Street  W, Toronto",43.646954,-79.382159,749,2907.852326406077,+14163640054,False,$$$$
Dzo Viet Eatery,Vietnamese,,Vietnamese,4.0,"308 Dundas Street W, Toronto",43.65445,-79.39178,162,2401.3202578469395,+16473468843,False,$$
Antler Kitchen & Bar,Canadian (New),,Canadian (New),4.5,"1454 Dundas Street West, Toronto",43.64985,-79.43059,290,1173.9566810198842,+16473458300,False,$$$
KINKA IZAKAYA ORIGINAL,"Japanese, Pubs",Pubs,Japanese,4.0,"398 Church Street, Toronto",43.66042406856627,-79.37890046282942,1824,3630.2495755989526,+14169770999,False,$$
Imm Thai Kitchen,"Thai, Noodles",,Thai,4.5,"651 College Street, Toronto",43.65484,-79.41598,156,1190.7902847228902,+14165326888,False,$$
Bar Raval,"Spanish, Tapas/Small Plates, Cocktail Bars",Cocktail Bars,,4.0,"505 College Street, Toronto",43.6558432,-79.4099433,323,1445.4984759950335,+16473448001,False,$$$
The Keg Steakhouse + Bar - York Street,"Steakhouses, Bars, Seafood","Steakhouses, Bars, Seafood",,4.0,"165 York Street, Toronto",43.650011481693866,-79.38395891300931,310,2820.8974169659587,+14167031773,False,$$$
Buca,Italian,,Italian,4.0,"604 King Street W, Toronto",43.64462,-79.40045,456,1425.183647718104,+14168651600,False,$$$
Ramen Isshin,Ramen,,,4.5,"421 College Street, Toronto",43.65634,-79.40689,824,1615.2939769004895,+14163674013,False,$$
La Banane,"French, Seafood, Bistros",Seafood,French,4.5,"227 Ossington Avenue, Toronto",43.64904,-79.4203,157,562.5393513794542,+14165516263,False,$$$$
Jacobs & Co. Steakhouse,Steakhouses,Steakhouses,,4.5,"12 Brant Street, Toronto",43.64539876116,-79.3980279011192,618,1620.5039331284718,+14163660200,False,$$$$
Bellwoods Brewery,"Breweries, Canadian (New)",,Canadian (New),4.0,"124-126 Ossington Avenue, Toronto",43.64713,-79.42015,353,358.85490519145503,+14165354586,False,$$
Union,"French, Wine Bars",Wine Bars,French,4.0,"72A Ossington Avenue, Toronto",43.64577,-79.41974,244,210.33305785821926,+14168500093,False,$$$
JaBistro,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.0,"222 Richmond Street W, Toronto",43.64980116402221,-79.3881706,591,2486.127519433587,+16477480222,False,$$$
Mira,Peruvian,,Peruvian,4.5,"420A Wellington Street W, Toronto",43.64417,-79.39639,275,1753.873504065762,+16479513331,False,$$
Chubby's Jamaican Kitchen,Caribbean,,Caribbean,4.0,"104 Portland Street, Toronto",43.64532,-79.40066,362,1404.1066638007042,+14167928105,False,$$
LOCAL Public Eatery - Liberty Village,"Sports Bars, Breakfast & Brunch, American",Sports Bars,American,4.0,"171 E Liberty Street, Toronto",43.6384689262493,-79.4192124903202,309,650.3637772638222,+14169018351,False,$$
Alo Restaurant,"Bars, French",Bars,French,4.5,"163 Spadina Avenue, Toronto",43.64851,-79.39584,350,1844.120187036274,+14162602222,False,$$$$
Café Polonez,Polish,,,4.5,"195 Roncesvalles Avenue, Toronto",43.64514,-79.44831,292,2435.331690998316,+14165328432,False,$$
Cactus Club Cafe,"Cocktail Bars, Canadian (New)",Cocktail Bars,Canadian (New),4.0,"77 Adelaide Street W, Toronto",43.64950420768667,-79.38251803088575,611,2922.1749842259796,+16477482025,False,$$
Aloette,"French, Bistros, Diners",,French,4.5,"163 Spadina Avenue, Toronto",43.64855831176563,-79.395963,312,1844.5913993784582,+14162603444,False,$$$
King Taps,"Canadian (New), Cocktail Bars",Cocktail Bars,Canadian (New),4.0,"100 King Street W, Toronto",43.6486379269,-79.3817439,407,2965.943849030601,+16473612025,False,$$
Jules Bistro,French,,French,4.0,"924 Queen Street West, Toronto",43.644959,-79.415938,86,190.40762744491255,+14165335454,False,$$$
Le Baratin,French,,French,4.5,"1600 Dundas Street. W, Toronto",43.65007,-79.4351,132,1505.2036710171683,+14165348800,False,$$
Enoteca Sociale,Italian,,Italian,4.0,"1288 Dundas St W, Toronto",43.6496799,-79.42567,323,859.0187454059676,+14165341200,False,$$$
Beast Pizza,Pizza,Pizza,,4.0,"96 Tecumseth Street, Toronto",43.64408,-79.40578,412,993.5240804940146,+16473526000,False,$$
Beerbistro,"Bistros, Beer Bar, Comfort Food",Beer Bar,,4.0,"18 King Street E, Toronto",43.649628,-79.377165,681,3354.142278564296,+14168619872,False,$$
DaiLo,"Chinese, Asian Fusion",,"Chinese, Asian Fusion",4.0,"503 College Street, Toronto",43.65574,-79.4098,329,1448.2277380149496,+16473418882,False,$$$
Cafe Landwer - Adelaide & University,"Cafes, Breakfast & Brunch, Mediterranean",Cafes,Mediterranean,4.0,"165 University Avenue, Toronto",43.64875,-79.38491,536,2709.96308780398,+16477481165,False,$$
The Haam,"Japanese, Mexican, Sushi Bars",Sushi Bars,"Japanese, Mexican",4.0,"342 Adelaide St W, Toronto",43.64743,-79.39308,333,2040.0912997523296,+14169777258,False,$$
