Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price
Saku,Japanese,,Japanese,4.5,"548 W Broadway, Vancouver",49.2631006,-123.11667523250104,233,38.09212796609981,+16044234600,False,$$
Blue Water Cafe,Seafood,Seafood,,4.5,"1095 Hamilton St, Vancouver",49.2761945,-123.1209935,1079,1482.328162797273,+16046888078,False,$$$$
OEB Breakfast Co. Yaletown,Breakfast & Brunch,,,4.5,"1137 Marinaside Crescent, Vancouver",49.2734341,-123.1192724,783,1153.068003234908,+16044233447,False,$$
Jam Cafe on Beatty,Breakfast & Brunch,,,4.5,"556 Beatty Street, Vancouver",49.2802586,-123.1096376,1395,1946.7376761407324,+17783791992,False,$$
The Flying Pig,"Canadian (New), Seafood",Seafood,Canadian (New),4.0,"1168 Hamilton Street, Vancouver",49.27501,-123.122,1307,1374.0667516424435,+16045681344,False,$$
Chambar,Belgian,,,4.0,"568 Beatty Street, Vancouver",49.2801460007961,-123.109925328073,1546,1930.5337011764295,+16048797119,False,$$$
Rodney's Oyster House,Seafood,Seafood,,4.0,"1228 Hamilton Street, Vancouver",49.274326,-123.123131,832,1328.8795233222147,+16046090080,False,$$
Minami,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.0,"1118 Mainland Street, Vancouver",49.2752733,-123.1207029,765,1373.6689932219708,+16046858080,False,$$$
Fanny Bay Oyster Bar & Shellfish Market,"Seafood, Seafood Markets","Seafood, Seafood Markets",,4.5,"762 Cambie St, Vancouver",49.2787525,-123.1138689,790,1711.527841072457,+17783799510,False,$$
Anh and Chi,"Vietnamese, Cocktail Bars",Cocktail Bars,Vietnamese,4.0,"3388 Main Street, Vancouver",49.2550314422938,-123.100882202153,644,1442.4854753127547,+16048788883,False,$$
La Taqueria Pinche Taco Shop,Mexican,,Mexican,4.0,"2450 Yukon Street, Vancouver",49.263559,-123.112736,685,255.18136290582157,+16045582549,False,$$
Peaceful Restaurant,"Chinese, Noodles",,Chinese,3.5,"110-532 W Broadway, Vancouver",49.263147,-123.116143,621,15.772340755351154,+16048799878,False,$$
Robba da Matti,"Italian, Tapas Bars",Tapas Bars,Italian,4.0,"1127 Mainland Street, Vancouver",49.2753397,-123.1208967,498,1383.341070598963,+16045581174,False,$$$
Hokkaido Ramen Santouka,"Noodles, Ramen, Soup",,,4.0,"558 W Broadway, Vancouver",49.263127,-123.1168917,226,50.822267069302015,+16045651770,False,$$
Dynasty Seafood Restaurant,"Dim Sum, Seafood, Cantonese",Seafood,,3.5,"777 W Broadway, Vancouver",49.2635999,-123.12138,306,373.45202244322445,+16048768388,False,$$
Uma Sushi,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.5,"450 W 8th Avenue, Vancouver",49.2638048,-123.1137294,116,187.8228525869498,+16044288588,False,$$$
Lupo,Italian,,Italian,4.5,"869 Hamilton Street, Vancouver",49.27823,-123.1174,445,1660.4638556190805,+16045692535,False,$$$
Marulilu Cafe,Cafes,Cafes,,4.0,"451 W Broadway, Vancouver",49.26338,-123.11415,288,153.7894447561674,+16045684211,False,$$
Vij's Restaurant,Indian,,Indian,4.0,"3106 Cambie Street, Vancouver",49.25754,-123.11479,402,642.7967137644082,+16047366664,False,$$$
Published On Main,"Tapas/Small Plates, Wine Bars, Cocktail Bars","Wine Bars, Cocktail Bars",,4.5,"3593 Main Street, Vancouver",49.25283186017385,-123.10116032897228,116,1595.1956392439774,+16044234840,False,N/A
Rogue Kitchen & Wetbar,"American, Gastropubs",Gastropubs,American,3.5,"602 West Broadway Avenue, Vancouver",49.263047,-123.117827,146,118.96796594191565,+16045689400,False,$$
iDen & Quan Ju De Beijing Duck House,Chinese,,Chinese,3.5,"2808 Cambie Street, Vancouver",49.26021,-123.1148451,108,367.2982242522704,+12364777777,False,N/A
Jinya Ramen Bar - Vancouver,Ramen,,,4.0,"541 Robson Street, Vancouver",49.2803264,-123.11793569570304,441,1899.7417056810655,+16046999377,False,$$
Sushi Jin,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.5,"750 Nelson Street, Vancouver",49.2795794102629,-123.123817518353,138,1894.455246616795,+16045598834,False,$$$
Medina Cafe,"Breakfast & Brunch, Middle Eastern, Wine Bars",Wine Bars,Middle Eastern,4.0,"780 Richards Street, Vancouver",49.2804429972571,-123.117036269849,2606,1909.5584355163853,+16048793114,False,$$
Manoush'eh,"Lebanese, Mediterranean",,Mediterranean,5.0,"620 Davie Street, Vancouver",49.27667072314417,-123.12570086148996,238,1640.2014347505005,+16044404402,False,$
The Mexican Antojitos Y Cantina,Mexican,,Mexican,4.5,"1049 Granville Street, Vancouver",49.2787726,-123.1240268,406,1814.96587683788,+16045690955,False,$$
Cactus Club Cafe,"Canadian (New), Cocktail Bars",Cocktail Bars,Canadian (New),3.5,"575 Broadway W, Vancouver",49.2633734327403,-123.117130327243,146,66.45916169079696,+16047146000,False,$$
Bodega On Main,"Spanish, Tapas/Small Plates, Tapas Bars",Tapas Bars,,4.0,"1014 Main Street, Vancouver",49.2752787,-123.0997112,214,1820.3748251445754,+16045658815,False,$$
Yu Shang Hot Pot,Hot Pot,,,4.5,"202-950 W Broadway, Vancouver",49.263149,-123.125629,80,682.4565068718532,+16045646686,False,N/A
Seaport City Seafood Restaurant,"Dim Sum, Seafood, Cantonese",Seafood,,4.5,"2425 Cambie Street, Vancouver",49.263921119674905,-123.115152,32,105.77823013638869,+16042227288,False,N/A
Fable Diner,"Diners, American",,American,4.0,"151 E Broadway, Vancouver",49.2630749,-123.1019822,332,1067.7327683073204,+16045633463,False,$$
Salmon n' Bannock,Canadian (New),,Canadian (New),4.5,"1128 W Broadway, Vancouver",49.2631378,-123.1296705,207,980.9789241621553,+16045688971,False,$$
Banana Leaf,"Malaysian, Singaporean",,Malaysian,4.0,"820 W Broadway, Vancouver",49.26302,-123.1225,301,454.4598656765367,+16047316333,False,$$
MeeT on Main,"Comfort Food, Burgers",Burgers,,4.0,"4288 Main Street, Vancouver",49.2467145032391,-123.100830778711,477,2154.2052891107187,+16046961010,False,$$
Lotus Seed Vegan,Vegan,,,4.0,"736 W Broadway, Vancouver",49.2631751,-123.1204905,129,341.7748059640772,+16045633368,False,$$
Black Rice Izakaya,"Japanese, Sushi Bars, Tapas Bars","Sushi Bars, Tapas Bars",Japanese,4.0,"782 Cambie Street, Vancouver",49.278444,-123.114329,300,1691.9839282658347,+17783790416,False,$$
Tasty Indian Bistro,Indian,,Indian,4.0,"1261 Hamilton Street, Vancouver",49.2744011,-123.1236818,217,1349.9260113837895,+16044233300,False,$$
Westcoast Poke,"Hawaiian, Poke",,,4.0,"463 W 8th Avenue, Vancouver",49.26409,-123.1140415,172,194.29137169362502,+17783795344,False,$$
Indian Roti Kitchen,Indian,,Indian,4.5,"2961 Cambie Street, Vancouver",49.25901,-123.11538,160,477.22141198121557,+16048763767,False,$$
Shizen Ya,"Japanese, Sushi Bars, Bars","Sushi Bars, Bars",Japanese,4.0,"965 Hornby Street, Vancouver",49.2808844,-123.1246278,589,2050.432447968474,+16045680013,False,$$
Zakkushi Dining On Main,"Japanese, Tapas/Small Plates",,Japanese,4.0,"4075 Main Street, Vancouver",49.24910063019759,-123.1015460312003,220,1902.7072120270416,+16048749455,False,$$
Burgoo Bistros,"Comfort Food, Bistros",,,4.0,"3096 Main Street, Vancouver",49.25763,-123.10084,502,1282.3758134423867,+16048731441,False,$$
Elisa,Steakhouses,Steakhouses,,4.0,"1109 Hamilton Street, Vancouver",49.2759562,-123.1213608,204,1459.2510052864207,+16043625443,False,$$$$
AJ's Brooklyn Pizza Joint,Pizza,Pizza,,4.5,"325 East Broadway, Vancouver",49.2629437687572,-123.098307028413,140,1300.8214845058683,+16044285805,False,$$
Zarak By Afghan Kitchen,"Afghan, Cocktail Bars, Breakfast & Brunch",Cocktail Bars,,4.5,"2102 Main Street, Vancouver",49.266224,-123.1006089,79,1182.553907153083,+16043183456,False,N/A
Yolks,"Coffee & Tea, Breakfast & Brunch",Coffee & Tea,,3.5,"546 W Broadway, Vancouver",49.2631139,-123.1163529,353,29.354770444070702,+16045599655,False,$$
Burgoo Bistro,"Comfort Food, Bistros",,,4.0,"1100 Burrard Street, Vancouver",49.27968,-123.12763,174,2020.1426239672612,+16044161444,False,$$
The Fish Counter,"Fish & Chips, Seafood",Seafood,,4.5,"3825 Main Street, Vancouver",49.25076,-123.10136,357,1762.6308028134094,+16048763474,False,$$
Menya Raizo,Ramen,,,4.0,"401 W Broadway, Vancouver",49.26336,-123.11314,78,226.906974274452,+16048290697,False,$$
Cactus Club Cafe,"Canadian (New), Cocktail Bars",Cocktail Bars,Canadian (New),4.0,"1085 Canada Place, Vancouver",49.2895176422553,-123.1181077748714,853,1403.4400564826149,+16046207410,False,$$
Cardero's Restaurant & Marine Pub,"Seafood, Cajun/Creole, Canadian (New)",Seafood,Canadian (New),4.0,"1583 Coal Harbour Quay, Vancouver",49.2914561357511,-123.127575841549,659,938.9005052142435,+16046697666,False,$$$
Nightingale,"Live/Raw Food, Canadian (New), Pizza",Pizza,Canadian (New),4.0,"1017 West Hastings Street, Vancouver",49.2874110331456,-123.117770967577,491,1612.9922780601612,+16046959500,False,$$$
Guu with Garlic,"Japanese, Tapas/Small Plates",,Japanese,4.5,"1698 Robson Street, Vancouver",49.290249,-123.1338142,1058,1126.738717750486,+16046858678,False,$$
Kingyo,"Japanese, Tapas/Small Plates",,Japanese,4.5,"871 Denman Street, Vancouver",49.29061,-123.13714,1100,1171.1780234165442,+16046081677,False,$$
Tap & Barrel - Convention Centre,Comfort Food,,,4.0,"1055 Canada Place, Vancouver",49.289845529586,-123.116857235515,337,1429.1422077369073,+16042359827,False,$$
Botanist,"Canadian (New), Diners, Breakfast & Brunch",,Canadian (New),4.5,"1038 Canada Place, Vancouver",49.2883099,-123.1167271,384,1608.1285058627218,+16046955500,False,$$$
Miku,"Japanese, Sushi Bars, Vegetarian",Sushi Bars,Japanese,4.5,"200 Granville Street, Vancouver",49.28691753455261,-123.11276314110472,2251,1869.2227980210773,+16045683900,False,$$$
Stanley's Bar & Grill,"Bars, American",Bars,American,3.5,"610 Pipeline Road, Vancouver",49.2997083,-123.1339011,107,335.88372865211016,+16046023088,False,$$
Maruhachi Ra-men,Ramen,,,4.5,"780 Bidwell Street, Vancouver",49.2905691,-123.1333951,762,1071.9707230212734,N/A,False,$$
