Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price
Sun Fortune Restaurant,Chinese,,Chinese,4.5,"2077 Pembina Hwy, Winnipeg",49.8141925,-97.152262,36,1571.4593283561273,+12042696868,False,$$
Tehran Market & Cafe,"Mediterranean, Cafes",Cafes,Mediterranean,4.5,"8-1875 Pembina Highway, Winnipeg",49.8225562,-97.1531535,9,1069.9434950206091,+12047834726,False,$$
TH Dang Restaurant,Vietnamese,,Vietnamese,4.0,"1425 Pembina Highway, Winnipeg",49.8374306,-97.1513752,30,1762.9934153952536,N/A,False,$$
Delicious Vegetarian Restaurant,"Vegetarian, Vegan",,,4.5,"1467 Pembina Highway, Winnipeg",49.8360447,-97.1510367,20,1669.4498135968436,+12044771530,False,$$
Nicolino's,Italian,,Italian,3.5,"4-2077 Pembina Highway, Winnipeg",49.8155744315158,-97.1531980177216,21,1541.4969769502432,+12042695004,False,$$$
IGI BBQ and Sushi Bistro,"Sushi Bars, Korean, Barbeque","Sushi Bars, Barbeque",Korean,3.5,"10-1875 Pembina Highway, Winnipeg",49.8225632,-97.153183,26,1127.375504186964,+12044779909,False,$$
Stella's,"Breakfast & Brunch, Bakeries, Sandwiches",Sandwiches,,3.0,"1463 Pembina Highway, Winnipeg",49.83631591121338,-97.1510690348582,34,1688.9046221251608,+12042752001,False,$$
Coconut Island Thai Cuisine,Thai,,Thai,5.0,"1607 Pembina Highway, Winnipeg",49.83158,-97.1515299,5,1350.7653031235193,+12046158288,False,N/A
Pony Corral Restaurant & Bar,"Greek, Lounges, Steakhouses",Steakhouses,Greek,2.5,"1700 Pembina Highway, Winnipeg",49.8286719,-97.1516494,31,1260.323513383726,+12042753687,False,N/A
North Garden Restaurant,"Chinese, Asian Fusion",,"Chinese, Asian Fusion",2.5,"33 University Crescent, Winnipeg",49.81741436531699,-97.1503635705354,26,1558.170521650643,+12042752591,False,$$
Dancing Noodle,Chinese,,Chinese,3.5,"1393A Pembina Highway, Winnipeg",49.83837,-97.15172,8,1832.568961125093,+12046910205,False,$
Best Pizza & Donair,"Mediterranean, Donairs, Pizza",Pizza,Mediterranean,3.5,"1469 Pembina Highway, Winnipeg",49.8359642,-97.1510162,18,1690.7884987012092,+12042750444,False,$
Golden Loong Restaurant,Chinese,,Chinese,3.5,"2237 Pembina Highway, Winnipeg",49.809948,-97.1536331,13,2029.0318993652015,+12045046766,False,N/A
A&W,"Fast Food, Burgers","Fast Food, Burgers",,4.0,"1875 Pembina Highway, Winnipeg",49.8212257,-97.1542674,4,1096.1935312488424,+12042695706,False,$$
Huang Pu River Restaurant,Chinese,,Chinese,3.5,"1875 Pembina Hwy, Winnipeg",49.8225562,-97.1531535,6,1088.753197750814,+12042614407,False,N/A
Lot 88,"Bars, Steakhouses","Bars, Steakhouses",,2.0,"2005 Pembina Hwy, Winnipeg",49.8173663733895,-97.1530256420374,11,1412.0575631932625,+12042693496,False,N/A
Kimchi Sushi,"Korean, Sushi Bars",Sushi Bars,Korean,4.0,"1270 Pembina Highway, Winnipeg",49.84291,-97.15282,6,2204.151310931178,+12042618888,False,$$
Mr Calzone,"Pizza, Mediterranean, Halal",Pizza,Mediterranean,4.5,"1254 Pembina Highway, Winnipeg",49.8431323,-97.1530251,4,2213.3919074122605,+12044524203,False,N/A
Dagu rice noodle,Chinese,,Chinese,1.5,"102-1855 Pembina Highway, Winnipeg",49.8229141,-97.1531776,3,976.630222184706,+12042191597,False,N/A
Kiwa Korean Restaurant,Korean,,Korean,5.0,"2077 Pembina Highway, Winnipeg",49.8147422,-97.1521361,1,1571.4593283567215,+12042613131,False,N/A
Ta.Ke Sushi Take-Out,Sushi Bars,Sushi Bars,,4.0,"1235 Pembina Highway, Winnipeg",49.84352,-97.15391,6,2208.1959365162056,+12042840028,False,$$
George's Inn & Submarine,"Persian/Iranian, Diners, Burgers",Burgers,Persian/Iranian,4.0,"1395 Pembina Highway, Winnipeg",49.8384171,-97.1516342,3,1815.676685612861,+12044522258,False,N/A
Summer Palace,Chinese,,Chinese,3.0,"1755 Pembina Hwy, Winnipeg",49.8263497,-97.1527645,5,1068.46235801308,+12042619241,False,$$$
McDonald's,"Fast Food, Burgers, Coffee & Tea","Fast Food, Burgers, Coffee & Tea",,3.5,"2027 Pembina, Winnipeg",49.81661,-97.15257,2,1499.401685459819,+12049496019,False,N/A
Gondola Pizza Restaurants,"Pizza, Italian",Pizza,Italian,2.0,"1292 Pembina Hwy, Winnipeg",49.84174,-97.15294,8,2078.6955756316725,+12049492910,False,$$
