Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price,City
Blackfoot Truckstop Diner,"Diners, Breakfast & Brunch",Diners,NA,3.5,"1840 9 Avenue SE, Calgary",51.036434,-114.020316,84,183.17,14032655964,False,$$,Calgary
The Blues Can,"Jazz & Blues, Bars, Cajun/Creole",Bars,NA,4.0,"1429 9 Avenue SE, Calgary",51.03925,-114.02999,42,654.23,14032622666,False,$$,Calgary
The Nash,"Bars, Canadian (New)",Bars,Canadian (New),4.0,"925 11th Street SE, Calgary",51.041415,-114.037001,145,1190.29,14039843365,False,$$$,Calgary
The Eden,"French, Bistros",French,French,5.0,"1219 9 Avenue SE, Calgary",51.041501,-114.035308,26,1119.75,14032661005,False,$$,Calgary
Madison's 12|12,American,American,American,3.5,"1212 9 Avenue SE, Calgary",51.04213,-114.03589,58,1175.38,14034524970,False,$$,Calgary
Rouge,French,French,French,4.0,"1240 8 Avenue SE, Calgary",51.042292,-114.033648,70,1065.37,14035312767,False,$$$$,Calgary
Sushi Bar Zipang,Sushi Bars,Sushi Bars,NA,4.0,"1010 1 Avenue NE, Calgary",51.053351,-114.039866,91,2305.64,14032621888,False,$$,Calgary
Monki Breakfast Club & Bistro - Inglewood,Breakfast & Brunch,Breakfast & Brunch,NA,3.5,"4-1420 9 Avenue SE, Calgary",51.03987,-114.03009,24,716.4,14034537131,False,$$,Calgary
Rocky's Burger Bus,Burgers,Burgers,NA,4.5,"1235 26 Avenue SE, Calgary",51.030301,-114.034764,15,1037.12,14032430405,False,$,Calgary
Inglewood Drive In,"Fast Food, Hot Dogs, Burgers","Fast Food, Burgers",NA,4.0,"802 12 Street SE, Calgary",51.04169,-114.03358,43,1025.47,14032655198,False,$,Calgary
Ari Sushi,Sushi Bars,Sushi Bars,NA,5.0,"1201 9 Avenue SE, Calgary",51.04194,-114.03646,13,1181.52,14032622220,False,$,Calgary
Anatolia,Turkish,Turkish,NA,4.5,"1235 26 Avenue SE, Calgary",51.030088,-114.035436,11,1089.21,14036162238,False,$,Calgary
Vegan Street Inglewood,"Vegan, Mexican, Cocktail Bars",Cocktail Bars,Mexican,5.0,"1413 9 Avenue SE, Calgary",51.039644,-114.030974,7,731.48,14034533282,False,$,Calgary
Spolumbo's Fine Foods,"Delis, Sandwiches, Gluten-Free",Sandwiches,NA,3.5,"1308 9 Avenue SE, Calgary",51.04125,-114.03368,65,1014.94,14032646452,False,$$,Calgary
Inglewood Pizza,Pizza,Pizza,NA,4.0,"1225A 9 Avenue SE, Calgary",51.041391,-114.035008,40,1073.75,14032378220,False,$,Calgary
Mug Shotz Sports Bar & Grill,"Sports Bars, Chicken Wings, Venues & Event Spaces",Sports Bars,NA,4.0,"2808 Ogden Rd SE, Calgary",51.02979,-114.03017,53,806.11,14032644441,False,$$,Calgary
Hose & Hound Neighborhood Pub,"Pubs, Canadian (New)",Pubs,Canadian (New),3.5,"1030 9th Avenue SE, Calgary",51.042621,-114.037189,71,1277.71,14032340508,False,$$,Calgary
Minh Chau Vietnamese Restaurant,Vietnamese,Vietnamese,Vietnamese,3.5,"1318 9 Avenue SE, Calgary",51.04091,-114.03281,35,930.6,14032652073,False,$$,Calgary
Dragon Pearl Restaurant,Chinese,Chinese,Chinese,3.5,"1223A 9 Avenue SE, Calgary",51.041471,-114.03534,34,1097.69,14032338810,False,$$,Calgary
Canela Vegan Bakery & Cafe,"Bakeries, Coffee & Tea, Vegan",Coffee & Tea,NA,4.5,"1319 9 Avenue SE, Calgary",51.040687,-114.033227,6,927.13,14032264199,False,$$,Calgary
The Attic Bar & Stage,"Pizza, Music Venues, Cocktail Bars","Pizza, Cocktail Bars",NA,4.5,"1413 9 Avenue SE, Calgary",51.039657,-114.030974,3,732.33,14034754741,False,$$,Calgary
Kane's Harley Diner,Diners,Diners,NA,3.0,"1209 9 Avenue SE, Calgary",51.04169,-114.03629,37,1172.95,14032697311,False,$$,Calgary
Molcajete,Mexican,Mexican,Mexican,5.0,"1235 26 Avenue SE, Calgary",51.03019,-114.034439,7,1038.73,14036060644,False,$$,Calgary
Lil’ Empire,Burgers,Burgers,NA,4.0,"1105 1 Avenue NE, Calgary",51.053085,-114.037233,12,2192.35,14034554007,False,$$,Calgary
Well Juicery,"Live/Raw Food, Juice Bars & Smoothies",Juice Bars & Smoothies,NA,4.5,"1327A 9th ave SE, Calgary",51.04035,-114.03286,2,879.58,14035199576,False,$,Calgary
Jam’s Diner,"Diners, Cocktail Bars, Music Venues",Cocktail Bars,NA,4.5,"1209 9 Avenue SE, Calgary",51.041765,-114.036299,4,1172.95,14034525174,False,$,Calgary
Joodam,"Korean, Beer, Wine & Spirits, Cocktail Bars","Beer, Wine & Spirits, Cocktail Bars",Korean,5.0,"1003 9 Avenue SE, Calgary",51.042708,-114.039349,1,1404.43,14034520920,False,$,Calgary
Spolumbo's,Delis,Delis,NA,4.0,"315 19 St SE, Calgary",51.05022,-114.00859,6,1885.88,15873535330,False,$,Calgary
Ukrainian Fine Food,Ukrainian,Ukrainian,NA,4.0,"Crossroads Market, Calgary",51.03019,-114.03444,2,1057.24,<NA>,False,$,Calgary
Friendz Dine,"Halal, Breakfast & Brunch",Halal,NA,1.0,"2808 Ogden Road SE, Calgary",51.02979,-114.03017,1,806.11,15877199229,False,$,Calgary
Kitamba Cafe,Cafes,Cafes,NA,2.5,"Calgary Zoo, Calgary",51.043842,-114.031548,2,1072.65,14032329300,False,$,Calgary
Nila’s Taste of Indonesia,Indonesian,Indonesian,NA,5.0,"1235 26 Avenue SE, Calgary",51.03046,-114.03445,2,1057.24,14036811223,False,$,Calgary
The Potion Room,"Chicken Wings, Mexican, Cocktail Bars",Cocktail Bars,Mexican,2.5,"1211 9 Avenue SE, Calgary",51.04177,-114.03604,17,1155.37,14039998386,False,$,Calgary
Bea's Eatery,Cafes,Cafes,NA,3.5,"1023 9 Avenue SE, Calgary",51.042449,-114.038333,2,1331.44,14032633966,False,$,Calgary
Domino's Pizza,"Pizza, Chicken Wings, Sandwiches","Pizza, Sandwiches",NA,3.0,"1220 9 Avenue SE, Calgary",51.04185,-114.035501,5,1131.96,14032440008,False,$,Calgary
Grazers,Restaurants,Restaurants,NA,3.5,"1300 Zoo Road NE, Calgary",51.04409,-114.031311,2,1072.65,14032329300,False,$,Calgary
The Jamaican Jerk,"Food Trucks, Caribbean",Food Trucks,Caribbean,5.0,", Calgary",51.047604,-114.035995,2,1189.71,15872165646,False,$,Calgary
Tuk Tuk Thai,Thai,Thai,Thai,1.0,"108 - 1020 9th Ave SE, Calgary",51.042658,-114.03805,1,1328.57,14032610680,False,$,Calgary
Jimstar Bar and Grill,"Bars, Canadian (New)",Bars,Canadian (New),4.0,"4068 Ogden Road SE, Calgary",51.018829,-114.023247,1,1872.71,14032645738,False,$,Calgary
Sally's Cafe,Restaurants,Restaurants,NA,4.0,"4099 Ogden Rd SE, Calgary",51.018402,-114.01936,2,1941.53,14032330588,False,$,Calgary
Roxy's Burger Bar,"Fast Food, Breakfast & Brunch, Burgers","Fast Food, Burgers",NA,3.5,"1235 26th Avenue SE, Calgary",51.03019,-114.03444,7,1057.24,14032915208,False,$,Calgary
Sunny's Cafe,Cafes,Cafes,NA,4.0,"4035 14 Street SE, Calgary",51.01886,-114.02845,1,1908.24,14032330804,False,$,Calgary
Frameco Custom Picture Framing,Home Decor,Home Decor,NA,1.0,"1006 9 Ave SE, Calgary",51.04297,-114.03892,1,1391.32,14032337490,False,$,Calgary
Ten Foot Henry,Canadian (New),Canadian (New),Canadian (New),4.5,"1209 1st Street SW, Calgary",51.04109,-114.06597,553,1144.32,14034755537,False,$$$,Calgary
Native Tongues Taqueria,"Mexican, Cocktail Bars",Cocktail Bars,Mexican,4.0,"235 12 Avenue SW, Calgary",51.041401,-114.067559,458,1245.38,14032639444,False,$$,Calgary
Charcut Roast House,Steakhouses,Steakhouses,NA,4.0,"101-899 Centre Street S, Calgary",51.044727,-114.06337,364,1267.33,14039842180,False,$$$,Calgary
OEB Breakfast,Breakfast & Brunch,Breakfast & Brunch,NA,4.5,"825 1 Avenue NE, Calgary",51.053085,-114.043995,617,2014.26,14032783447,False,$$,Calgary
OEB Breakfast,Breakfast & Brunch,Breakfast & Brunch,NA,4.5,"222 5 Avenue SW, Calgary",51.04859,-114.06682,349,1729.2,15873523447,False,$$,Calgary
Model Milk,Canadian (New),Canadian (New),Canadian (New),4.0,"308 17th Avenue, Calgary",51.037994,-114.069077,262,1208.3,14032657343,False,$$$,Calgary
ZCREW Cafe,Cafes,Cafes,NA,4.5,"401 11 Avenue  SE, Calgary",51.041992,-114.055583,83,738.85,14034606668,False,$$$,Calgary
One18 Empire,"Cocktail Bars, Canadian (New), Whiskey Bars","Cocktail Bars, Whiskey Bars",Canadian (New),4.5,"820 Centre Street S, Calgary",51.044979,-114.062876,95,1268.71,14032690299,False,$$,Calgary
Blue Star Diner,"Diners, Breakfast & Brunch",Diners,NA,4.5,"809 1st Avenue NE, Calgary",51.053181,-114.044872,251,2002.03,14032619998,False,$$,Calgary
N9NA,"Canadian (New), Burgers",Burgers,Canadian (New),4.0,"121 17th Avenue SE, Calgary",51.03771,-114.06224,139,736.65,14032636355,False,$$,Calgary
Vintage Chophouse and Tavern,"Steakhouses, Wine Bars, Seafood","Steakhouses, Wine Bars, Seafood",NA,4.0,"320 11 Avenue SW, Calgary",51.042678,-114.068379,166,1369.56,14032627262,False,$$$,Calgary
Red's Diner Ramsay,"Diners, Comfort Food, Breakfast & Brunch",Diners,NA,4.0,"1101- 8th Street SE, Calgary",51.03996,-114.0419,109,846.6,15873531188,False,$$,Calgary
Klein Harris,"Desserts, Canadian (New), Cocktail Bars","Desserts, Cocktail Bars",Canadian (New),4.5,"110 8 Avenue SW, Calgary",51.045664,-114.063681,70,1363.49,14032628100,False,$$,Calgary
Embarcadero Wine & Oyster Bar,"Seafood, Wine Bars","Seafood, Wine Bars",NA,4.0,"208-17 Avenue South East, Calgary",51.038166,-114.060599,39,647.28,14032630848,False,$$$,Calgary
Pigeonhole,"Cocktail Bars, Wine Bars, Canadian (New)","Cocktail Bars, Wine Bars",Canadian (New),4.0,"306 17th Avenue SW, Calgary",51.037979,-114.068904,107,1196.11,14034524694,False,$$,Calgary
JOEY Eau Claire,"Canadian (New), Lounges, Steakhouses",Steakhouses,Canadian (New),4.0,"208 Barclay Parade SW, Calgary",51.052127,-114.069349,144,2179.9,14032636336,False,$$,Calgary
LOCAL Public Eatery,"Canadian (New), Pubs, American",Pubs,"Canadian (New), American",4.0,"310 8th Avenue SW, Calgary",51.045686,-114.068615,128,1593.39,14032647808,False,$$,Calgary
The Keg Steakhouse + Bar,"Steakhouses, Bars, Seafood","Steakhouses, Bars, Seafood",NA,4.0,"320 4th Ave Sw, Calgary",51.04998,-114.069502,96,1991.54,14036999843,False,$$$,Calgary
Calgary Court Restaurant,Chinese,Chinese,Chinese,4.0,"119 2 Ave SE, Calgary",51.05088,-114.06153,82,1812.65,14032647890,False,$$,Calgary
Shiki Menya,Ramen,Ramen,NA,4.0,"824 1 Avenue NE, Calgary",51.05342,-114.04388,127,2044.77,14034542722,False,$$,Calgary
The Beltliner,"Breakfast & Brunch, Diners, Coffee & Tea",Coffee & Tea,NA,3.5,"243 12th Avenue SW, Calgary",51.041456,-114.067903,186,1269.33,15879551555,False,$$,Calgary
Deane House,"Canadian (New), Bars",Bars,Canadian (New),4.0,"806 9th Avenue SE, Calgary",51.043595,-114.041884,51,1138.8,14032640595,False,$$,Calgary
Yellow Door Bistro,"Canadian (New), Bistros, Breakfast & Brunch",Canadian (New),Canadian (New),3.5,"119 12 Avenue SW, Calgary",51.041355,-114.064491,111,1062.46,14032069585,False,$$$,Calgary
Teatro,"Italian, Mediterranean",Italian,"Italian, Mediterranean",3.5,"200 8th Avenue SE, Calgary",51.045712,-114.060287,107,1242.93,14032901012,False,$$$,Calgary
Cardinale,Italian,Italian,Italian,4.0,"401 12 Avenue SE, Calgary",51.041031,-114.055577,26,641.55,14032646046,False,$$$,Calgary
Great Taste Chinese Restaurant,Chinese,Chinese,Chinese,4.0,"123 2 Avenue SE, Calgary",51.051027,-114.061279,92,1812.34,14032659880,False,$$,Calgary
Minas Brazilian Steakhouse,"Steakhouses, Brazilian",Steakhouses,NA,4.0,"136 2 Street SW, Calgary",51.052746,-114.067278,122,2163.29,14034542550,False,$$$,Calgary
Murrieta's West Coast Bar & Grill,"Wine Bars, Seafood, Steakhouses","Wine Bars, Seafood, Steakhouses",NA,4.0,"808 1st Street SW, Calgary",51.045402,-114.065279,116,1399.17,14032697707,False,$$$,Calgary
La Brezza Restaurant & Cafe,Italian,Italian,Italian,4.0,"990 1 Avenue NE, Calgary",51.053378,-114.040613,50,2117.92,14032626230,False,$$$,Calgary
LDV Pizza Bar,Pizza,Pizza,NA,4.0,"916 1 Avenue NE, Calgary",51.053359,-114.042235,42,2075.27,14032635999,False,$$,Calgary
Bottlescrew Bill's Pub / Buzzards Restaurant & Bar,"Steakhouses, American, Pubs","Steakhouses, Pubs",American,3.5,"140 10 Avenue SW, Calgary",51.043575,-114.065422,66,1269.93,14032637900,False,$$,Calgary
Pho Hoai Vietnamese Noodle House,Vietnamese,Vietnamese,Vietnamese,4.0,"132 3 Ave SE, Calgary",51.05046,-114.06087,59,1744.62,14032648174,False,$$,Calgary
Saltlik Calgary,"Steakhouses, Cocktail Bars, Venues & Event Spaces","Steakhouses, Cocktail Bars",NA,3.5,"101 8 Avenue SW, Calgary",51.045289,-114.063295,187,1316.49,14035371160,False,$$$,Calgary
Thi Thi Vietnamese Subs,"Vietnamese, Sandwiches",Sandwiches,Vietnamese,4.5,"209 1 St SE, Calgary",51.050758,-114.060345,148,1757.0,14032655452,False,$,Calgary
Paper Lantern,"Asian Fusion, Vietnamese, Cocktail Bars",Cocktail Bars,"Asian Fusion, Vietnamese",4.5,"115-2 Avenue SE, Calgary",51.050928,-114.061726,13,1813.32,14034577765,False,$,Calgary
Kam Han Szechuan House North,Chinese,Chinese,Chinese,3.5,"2318 Spiller Road SE, Calgary",51.031867,-114.046573,27,584.05,14032646030,False,$$,Calgary
Major Tom,"Bars, Seafood, Tapas/Small Plates","Bars, Seafood",NA,4.0,"700 2 Street SW, Calgary",51.046327,-114.067394,44,1585.03,14039903954,False,$$,Calgary
Paddy's Barbecue & Brewery,"Breweries, Barbeque",Barbeque,NA,4.5,"3610 Burnsland Road SE, Calgary",51.02283,-114.0577,23,1487.25,14036517150,False,$$,Calgary
Soleil Bistro & Bar,"Waffles, Bistros, Cocktail Bars",Cocktail Bars,NA,5.0,"612 5 Street SE, Calgary",51.046836,-114.050457,12,1236.33,14037645227,False,$$,Calgary
Thai Bistro,Thai,Thai,Thai,4.0,"233 Centre Street SW, Calgary",51.05061,-114.06296,81,1816.97,14033139922,False,$$,Calgary
Charbar,"Argentine, Seafood, Canadian (New)",Seafood,Canadian (New),3.5,"618 Confluence Way SE, Calgary",51.047905,-114.04977,186,1359.71,14034523115,False,$$,Calgary
Milestones,"Canadian (New), Bars, Steakhouses","Bars, Steakhouses",Canadian (New),3.5,"107 8th Avenue SE, Calgary",51.045362,-114.062624,108,1288.86,14034109521,False,$$,Calgary
Silver Dragon Restaurant,"Chinese, Seafood, Noodles",Seafood,Chinese,3.5,"106 3 Avenue SE, Calgary",51.050601,-114.062249,135,1788.72,14032645326,False,$$,Calgary
Sukiyaki House,"Sushi Bars, Japanese",Sushi Bars,Japanese,4.0,"130-207 9 Avenue SW, Calgary",51.044529,-114.066626,53,1404.03,14032633003,False,$$$,Calgary
The Palomino,"Barbeque, Music Venues, Bars","Barbeque, Bars",NA,3.5,"109 7 Ave SW, Calgary",51.046328,-114.063579,140,1419.65,14035321911,False,$$,Calgary
El Furniture Warehouse,"Bars, Comfort Food, American",Bars,American,4.0,"107 Stephen Ave SW, Calgary",51.045388,-114.063599,54,1329.56,14037645858,False,$,Calgary
Jerusalem Shawarma,Middle Eastern,Middle Eastern,Middle Eastern,5.0,"111-722 85 Street SW, Calgary",51.06609,-114.21067,13,1800.58,14034748994,False,$,Calgary
Thai Manna,"Thai, Farmers Market, Comfort Food",Thai,Thai,5.0,"25 Greenbriar Drive NW, Calgary",51.08861,-114.22293,7,876.64,14039987049,False,$$$,Calgary
Bona Roma Pizza,"Pizza, Italian",Pizza,Italian,3.5,"89 Bowridge Drive NW, Calgary",51.084632,-114.207131,20,601.73,14032473327,False,$$,Calgary
Denny's,"Diners, Breakfast & Brunch, American",Diners,American,2.5,"117 Bowridge Drive NW, Calgary",51.084965,-114.208594,20,546.08,14032472218,False,$$,Calgary
Angel's Drive In,"Fast Food, Diners",Fast Food,NA,3.5,"8603 47 Avenue NW, Calgary",51.094675,-114.21124,67,1395.54,14032881009,False,$,Calgary
Masa,Sushi Bars,Sushi Bars,NA,4.0,"301-722 85th Street SW, Calgary",51.066717,-114.209913,17,1780.88,15873526928,False,$$,Calgary
UNA Pizza + Wine,"Pizza, Wine Bars","Pizza, Wine Bars",NA,4.0,"8529 Broadcast Avenue SW, Calgary",51.0646,-114.21028,14,2010.44,14034531183,False,$$,Calgary
722 World Bier Haus,"Canadian (New), Bars, Pizza","Bars, Pizza",Canadian (New),2.5,"722 85 Street SW, Calgary",51.066249,-114.209672,54,1835.31,14034559950,False,$$,Calgary
Avenue 16 Kitchen & Bar,"Italian, Steakhouses, Bars","Steakhouses, Bars",Italian,3.0,"8220 Bowridge Crescent, Calgary",51.083472,-114.206761,4,604.63,14032024408,False,$$,Calgary
Andaro's Pizza,Pizza,Pizza,NA,4.0,"677 Cougar Ridge Drive SW, Calgary",51.068053,-114.216235,13,1594.55,14036990009,False,$$,Calgary
Morning Brunch Co.,Breakfast & Brunch,Breakfast & Brunch,NA,4.5,"315 - 722 85th Street SW, Calgary",51.066714,-114.20949,4,1787.63,14039842910,False,$$,Calgary
Analog Coffee Greenwich,Cafes,Cafes,NA,5.0,"130 - 55 Greenbriar Drive NW, Calgary",51.088313,-114.221559,2,793.82,14037185085,False,$$,Calgary
Deep & Square Pizza,Pizza,Pizza,NA,4.5,"50-7930 Bowness Road NW, Calgary",51.090042,-114.200215,8,1351.81,14032474181,False,$$,Calgary
McDonald's,"Fast Food, Burgers, Coffee & Tea","Fast Food, Burgers, Coffee & Tea",NA,2.0,"8235 Bowridge Cres N.W., Calgary",51.083955,-114.20753,10,566.37,14032883203,False,$,Calgary
Molson Canadian Hockey House,"Sports Bars, Canadian (New)",Sports Bars,Canadian (New),5.0,"151 Canada Olympic Road SW, Calgary",51.084671,-114.221519,1,507.24,14032475420,False,$,Calgary
Seasons of Bowness Park,"Bistros, Coffee & Tea",Coffee & Tea,NA,2.0,"8906 48 Avenue NW, Calgary",51.096921,-114.216847,37,1620.86,14032025065,False,$,Calgary
Dell Cafe,"Sandwiches, Coffee & Tea, Burgers","Sandwiches, Coffee & Tea, Burgers",NA,3.5,"7930 Bowness Road NW, Calgary",51.089591,-114.200424,19,1309.22,14032883606,False,$,Calgary
Subway,"Sandwiches, Fast Food","Sandwiches, Fast Food",NA,5.0,"85 Bowridge Dr NW, Calgary",51.084589,-114.207049,1,600.82,14032888577,False,$,Calgary
Wendy's,"Fast Food, Burgers","Fast Food, Burgers",NA,2.0,"8435 Bowfort Road N.W., Calgary",51.084456,-114.209958,8,435.29,14032866660,False,$,Calgary
Bar One,"Sports Bars, American, Canadian (New)",Sports Bars,"American, Canadian (New)",3.0,"125 Bowridge Drive NW, Calgary",51.085083,-114.208383,5,565.55,14032886033,False,$,Calgary
OPA! of Greece Canada Olympic Park,"Greek, Fast Food",Fast Food,Greek,2.5,"200 - 8435 Bowfort Rd NW, Calgary",51.084533,-114.209352,4,475.96,14032646622,False,$,Calgary
Bangkok Street Food,Thai,Thai,Thai,3.5,"25 Greenbriar Drive NW, Calgary",51.08861,-114.22293,3,876.64,15879973344,False,$,Calgary
Kin's Chinese Food,Chinese,Chinese,Chinese,2.5,"7930 Bowness Road NW, Calgary",51.090382,-114.199902,7,1392.74,14032884451,False,$,Calgary
Chopped Leaf,"Salad, Fast Food, Sandwiches","Fast Food, Sandwiches",NA,3.0,"305-722 85 Street SW, Calgary",51.066694,-114.209825,6,1784.64,14037642467,False,$$,Calgary
Blanco Cantina,"Bars, Tex-Mex",Bars,NA,3.5,"8545 Broadcast Avenue SW, Calgary",51.064535,-114.210451,4,2012.23,14034553796,False,$$,Calgary
The Bowness Pub,Gastropubs,Gastropubs,NA,3.0,"7930 Bowness Road NW, Calgary",51.08949,-114.20141,7,1358.06,14032888207,False,$$,Calgary
A&W,"Burgers, Fast Food","Burgers, Fast Food",NA,2.5,"116-89th Street SW, Calgary",51.06649,-114.21654,3,1753.86,14032639304,False,$$,Calgary
Dairy Queen Grill & Chill,"Fast Food, Ice Cream & Frozen Yogurt, Burgers","Fast Food, Burgers",NA,3.0,"115 722 85 Street Sw, Calgary",51.06654,-114.210557,4,1791.41,14037271436,False,$$,Calgary
Papa John's Pizza,Pizza,Pizza,NA,1.0,"722 85 Street SW, Calgary",51.066713,-114.209743,1,1783.87,14034546262,False,$$,Calgary
Selkirk Grille,"Seafood, Steakhouses, Canadian (New)","Seafood, Steakhouses",Canadian (New),4.0,"1900 Heritage Drive SW, Calgary",50.98278,-114.101595,25,62.7,14032688607,False,$$,Calgary
Empire Provisions,"Meat Shops, Breakfast & Brunch, Sandwiches",Sandwiches,NA,5.0,"8409 Elbow Drive SW, Calgary",50.975449,-114.08447,20,1256.52,14032440570,False,$$,Calgary
1600 World Bier Haus,"Burgers, Pizza, Beer Bar","Burgers, Pizza, Beer Bar",NA,3.0,"1600 90th Avenue SW, Calgary",50.973891,-114.099153,66,955.59,14034574287,False,$$,Calgary
John Wong's Chinese Restaurant,Chinese,Chinese,Chinese,3.5,"8413 Elbow Drive SW, Calgary",50.978895,-114.083871,18,1255.59,14032593853,False,$,Calgary
Bella Roma Restaurant,"Pizza, Italian",Pizza,Italian,3.5,"6449 Crowchild Trail SW, Calgary",50.996919,-114.118843,26,2043.6,14032420441,False,$$,Calgary
Freshii,"Salad, Vegetarian, Fast Food",Fast Food,NA,4.0,"1600 90 Ave SW, Calgary",50.973243,-114.097368,9,1049.44,14039101342,False,$$,Calgary
McDonald's,"Fast Food, Burgers, Coffee & Tea","Fast Food, Burgers, Coffee & Tea",NA,2.0,"1600 90 Avenue SW, Calgary",50.973628,-114.099239,19,983.86,14032583311,False,$,Calgary
Pizza Bank,Pizza,Pizza,NA,3.5,"1600 90 AVE SW E185, Calgary",50.973476,-114.099249,16,1000.65,14032525508,False,$$,Calgary
August Moon,Chinese,Chinese,Chinese,2.5,"9630 Elbow Dr SW, Calgary",50.96888,-114.08455,23,1891.66,14032557793,False,$$,Calgary
Canada Safeway,"Delis, Florists, Bakeries",Delis,NA,2.0,"1600 90 Ave SW, Calgary",50.97266,-114.09792,3,990.69,14032552755,False,$$,Calgary
Good Heart Cafe,"Cafes, Breakfast & Brunch",Cafes,NA,4.0,"1011 Glenmore Trail SW, Calgary",50.993716,-114.085486,1,1657.07,14032520656,False,$$,Calgary
Western Pizza Express,Pizza,Pizza,NA,3.0,"8407 Elbow Drive SW, Calgary",50.979107,-114.083485,13,1274.29,14032551000,False,$$,Calgary
Club Cafe,Cafes,Cafes,NA,3.0,"1900 Heritage Dr SW, Calgary",50.985515,-114.108827,2,652.55,14032688500,False,$$,Calgary
Sierra Cafe,Cafes,Cafes,NA,3.5,"39-6439 Crowchild Trail SW, Calgary",50.996853,-114.118211,3,2010.9,14032423884,False,$$,Calgary
Dairy Queen Grill & Chill,"Fast Food, Ice Cream & Frozen Yogurt, Burgers","Fast Food, Burgers",NA,2.0,"8423 Elbow Dr Sw, Calgary",50.978359,-114.084022,6,1265.56,14032520077,False,$,Calgary
Subway,"Sandwiches, Fast Food","Sandwiches, Fast Food",NA,1.5,"Haysboro Shopping Centre, Calgary",50.979445,-114.083675,3,1232.03,14032557769,False,$,Calgary
Subway,"Fast Food, Sandwiches","Fast Food, Sandwiches",NA,1.0,"1600 90 Ave SW, Calgary",50.974081,-114.098803,1,938.24,14037193594,False,$,Calgary
Safeway Food & Drug,"Delis, Sandwiches",Sandwiches,NA,4.0,"1600 90 Ave SW, Calgary",50.97266,-114.09792,1,990.69,14032553114,False,$,Calgary
Subway,"Fast Food, Sandwiches","Fast Food, Sandwiches",NA,2.5,"9704 Elbow Drive, Calgary",50.9685,-114.08443,2,1920.16,14037190030,False,$,Calgary
Pizza 73,Pizza,Pizza,NA,1.0,"9620 Elbow Drive SW, Calgary",50.9691,-114.08443,4,1906.22,14032737373,False,$$,Calgary
Garden of Italy,"Italian, Pizza",Pizza,Italian,4.5,"101-2763 Sunridge Way NE, Calgary",51.071988,-113.999736,65,612.68,14034545643,False,$$,Calgary
Cactus Club Cafe,"Canadian (New), Cocktail Bars",Cocktail Bars,Canadian (New),4.5,"2612 39 Avenue NE, Calgary",51.089627,-114.000743,235,1818.78,14032501120,False,$$$,Calgary
Pio Peruvian Rotisserie Chicken,Peruvian,Peruvian,Peruvian,4.5,"2929 Sunridge Way NE, Calgary",51.069252,-113.996574,74,648.15,14036817378,False,$$,Calgary
Quynh Vietnamese Cuisine,"Vietnamese, Asian Fusion",Vietnamese,"Vietnamese, Asian Fusion",4.0,"335-2555 32 St NE, Calgary",51.073625,-113.991102,57,82.2,14032912099,False,$$,Calgary
Hot Million Indian Cuisine,Indian,Indian,Indian,4.5,"2125 36 Street NE, Calgary",51.072049,-113.982085,48,668.51,14037986619,False,$$,Calgary
The CattleBaron Steakhouse & Bar,Steakhouses,Steakhouses,NA,4.0,"3340 26 Street NE, Calgary",51.0827,-113.99804,116,1049.11,14032502595,False,$$$,Calgary
Blaze Pizza,"Pizza, Salad, Fast Food","Pizza, Fast Food",NA,4.0,"2618 32nd St. Ne, Calgary",51.076888,-113.98638,69,475.68,14038793952,False,$$,Calgary
Pathway Burgers & MoMos,"Burgers, Himalayan/Nepalese, Fast Food","Burgers, Fast Food",NA,5.0,"2816 21st Street NE, Calgary",51.077237,-114.008378,16,1209.14,14032502238,False,$$,Calgary
JOEY Barlow,"Canadian (New), Steakhouses, Lounges",Steakhouses,Canadian (New),3.5,"3026 23rd Street NE Barlow Trail, Calgary",51.081296,-114.004017,87,1162.02,14032198465,False,$$,Calgary
Ramen Ichinen,Ramen,Ramen,NA,4.5,"349-3132 26 Street NE, Calgary",51.08002,-113.99746,65,709.15,14034542646,False,$$,Calgary
Smashburger,Burgers,Burgers,NA,4.0,"2770 32 Avenue NE, Calgary",51.082299,-113.996042,114,945.67,14032503156,False,$$,Calgary
Cuty Restaurant,"Vietnamese, Korean, Thai",Vietnamese,"Vietnamese, Korean, Thai",4.5,"3168 Sunridge Blvd NE, Calgary",51.075853,-113.987627,13,250.83,14037699401,False,$$,Calgary
Clay Oven Restaurant,Indian,Indian,Indian,4.0,"3131 27 Street NE, Calgary",51.079738,-113.995154,53,655.58,14032502161,False,$$,Calgary
Kor,Korean,Korean,Korean,4.5,"2805 32 Avenue NE, Calgary",51.080985,-113.994145,18,767.8,14037171228,False,$$,Calgary
OPA! of Greece Sunridge Mall,"Greek, Fast Food",Fast Food,Greek,3.0,"2525 36th St NE, Calgary",51.074167,-113.99148,5,20.08,14032930402,False,$,Calgary
Banana Leaf Tropical Cuisine,"Taiwanese, Malaysian",Taiwanese,Malaysian,4.0,"3330 32 Street NE, Calgary",51.082337,-113.987481,59,947.4,14034503880,False,$$,Calgary
