Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price,City
Halong Bay Noodle House,Vietnamese,Vietnamese,Vietnamese,4.0,"16971 127 Street NW, Edmonton",53.631934,-113.539942,56,505.61,17803716800,False,$$,Edmonton
Memphis Blues Barbeque House,"Barbeque, Whiskey Bars","Barbeque, Whiskey Bars",NA,3.0,"16907 127 Street NW, Edmonton",53.63075,-113.539256,61,589.94,17804796227,False,$$,Edmonton
Denny's,"Breakfast & Brunch, American",Breakfast & Brunch,American,3.5,"16711 127 Street, Edmonton",53.62967,-113.540866,7,739.14,17804573265,False,$$,Edmonton
Panda Express,"Chinese, Fast Food",Fast Food,Chinese,3.0,"16704 127th St NW, Edmonton",53.630517,-113.541212,33,681.27,17804578056,False,$$,Edmonton
Royal Pizza,Pizza,Pizza,NA,3.0,"16721 127 Street, Edmonton",53.630157,-113.53707,27,601.19,17804762241,False,$$,Edmonton
Teriyaki Corner,Japanese,Japanese,Japanese,3.0,"16815 127 Street NW, Edmonton",53.630335,-113.540255,22,662.69,17804846325,False,$$,Edmonton
kb&co,"Juice Bars & Smoothies, Coffee & Tea, Sandwiches","Juice Bars & Smoothies, Coffee & Tea, Sandwiches",NA,5.0,"16715 127 Street, Edmonton",53.62949,-113.53886,2,734.42,17804726931,False,$$,Edmonton
Shawarma Shack & Donair,"Middle Eastern, Burgers",Burgers,Middle Eastern,4.5,"12432 167 Ave NW, Edmonton",53.62964,-113.537739,2,667.79,17802508845,False,$$,Edmonton
Bar Burrito,"Mexican, Fast Food",Fast Food,Mexican,2.5,"16955 127 Street NW, Edmonton",53.631964,-113.539124,7,470.18,17802492090,False,$$,Edmonton
Apna Dhaba,"Indian, Desserts, Burgers","Desserts, Burgers",Indian,4.0,"16741 127 Street NW, Edmonton",53.630187,-113.538747,1,632.06,17807522061,False,$$,Edmonton
Subway,"Fast Food, Sandwiches","Fast Food, Sandwiches",NA,3.5,"Albany Market Square, Edmonton",53.629162,-113.543608,3,897.26,17804763334,False,$$,Edmonton
Dairy Queen Grill & Chill,"Ice Cream & Frozen Yogurt, Fast Food, Burgers","Fast Food, Burgers",NA,3.0,"16981 127th St, Edmonton",53.631881,-113.540432,3,531.2,17807056757,False,$,Edmonton
Taco Time,Mexican,Mexican,Mexican,3.0,"12712 167 Avenue NW, Edmonton",53.629042,-113.543101,3,887.19,15875210375,False,$,Edmonton
Freshii,"Vegetarian, Salad, Fast Food",Fast Food,NA,3.5,"12444 167th Ave NW, Edmonton",53.629705,-113.537631,4,658.91,15877826959,False,$,Edmonton
Mary Brown's,Fast Food,Fast Food,NA,2.5,"16703 127th Street NW, Edmonton",53.629378,-113.540856,3,777.64,<NA>,False,$,Edmonton
Woodwork,"Canadian (New), Cocktail Bars",Cocktail Bars,Canadian (New),4.0,"10132-100 Street, Edmonton",53.541943,-113.490731,175,249.31,17807574100,False,$$,Edmonton
OEB Breakfast,Breakfast & Brunch,Breakfast & Brunch,NA,4.5,"10174 100A Street, Edmonton",53.54252,-113.49257,245,273.65,15875200936,False,$$,Edmonton
JOEY Bell Tower,"Canadian (New), Lounges, Steakhouses",Steakhouses,Canadian (New),4.0,"10310-101 Street NW, Edmonton",53.545096,-113.494169,81,356.83,17809905639,False,$$,Edmonton
