Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price,City
Viana Grillades Portugaises,Portuguese,Portuguese,NA,4.5,"2042 Rue Lapierre, LaSalle",45.43658,-73.61502,36,224.02,15143796789,False,$$,Montreal
Restaurant  Kyomi,Pan Asian,Pan Asian,Pan Asian,3.5,"7660 Boulevard Newman, Lasalle",45.43849,-73.622699,35,456.51,15143633602,False,$$$,Montreal
Redipizza,"Pizza, Sandwiches, Salad","Pizza, Sandwiches",NA,4.5,"2074 Rue Thierry, Montreal",45.436594,-73.62668,9,679.22,15143654141,False,$$$,Montreal
Eggsquis,Breakfast & Brunch,Breakfast & Brunch,NA,4.0,"7401 boulevard Newman, Lasalle",45.440671,-73.621192,11,572.29,15143680333,False,$$,Montreal
Rabu Sushi,Sushi Bars,Sushi Bars,NA,4.5,"7824 Boulevard Champlain, Montreal",45.428644,-73.609474,13,1057.72,15143647228,False,$$,Montreal
Sous Le Palmier,Haitian,Haitian,NA,3.5,"2038 LaPierre, Montreal",45.436822,-73.615024,7,249.08,15145953444,False,$$,Montreal
Casa Grecque Restaurants,Greek,Greek,Greek,3.5,"7218 Newman Boulevard, Lasalle",45.44238,-73.61586,16,713.41,15143640494,False,$$,Montreal
Tim Hortons,"Coffee & Tea, Breakfast & Brunch",Coffee & Tea,NA,4.0,"8080 Boul Champlain, Lasalle",45.42748,-73.61071,5,1107.03,15143682114,False,$,Montreal
Cora,Breakfast & Brunch,Breakfast & Brunch,NA,4.0,"7573 Boulevard Newman, Lasalle",45.44013,-73.622443,6,571.87,15143645884,False,$,Montreal
Coco Frutti,Breakfast & Brunch,Breakfast & Brunch,NA,4.5,"7741 Boulevard Newman, Montreal",45.438423,-73.624646,3,581.88,14383876793,False,$,Montreal
Harvey's,"Burgers, Fast Food, Canadian (New)","Burgers, Fast Food",Canadian (New),4.0,"7881 Boul Newman, Lasalle",45.4369,-73.62563,5,614.43,15143638616,False,$,Montreal
Chez Ping,Dim Sum,Dim Sum,NA,3.5,"7401 Boul Newman, LaSalle",45.441025,-73.620079,16,551.26,15145951888,False,$$,Montreal
Petinos,"Breakfast & Brunch, Coffee & Tea, Burgers","Coffee & Tea, Burgers",NA,4.0,"7203 Boulevard Newman, Lasalle",45.443158,-73.617026,4,796.01,15144196969,False,$$,Montreal
