Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price,City
JOEY Lansdowne,"Canadian (New), Lounges, Steakhouses",Steakhouses,Canadian (New),4.0,"825 Exhibition Way, Ottawa",45.399658,-75.684106,126,916.29,16136955639,False,$$,Ottawa
The Belmont,"Tapas/Small Plates, Cocktail Bars",Cocktail Bars,NA,4.5,"1169 Bank Street, Ottawa",45.392288,-75.681671,29,213.1,16139793663,False,$$,Ottawa
Pelican Seafood Market & Grill,"Seafood, Seafood Markets","Seafood, Seafood Markets",NA,4.5,"1500 Bank Street, Ottawa",45.381098,-75.670445,139,1590.17,16135265229,False,$$,Ottawa
Oat Couture Oatmeal Cafe,"Breakfast & Brunch, Coffee & Tea, Cafes","Coffee & Tea, Cafes",NA,4.5,"1154 Bank Street, Ottawa",45.39299,-75.68284,30,192.85,16137376654,False,$$,Ottawa
Stella Luna Gelato Cafe,"Ice Cream & Frozen Yogurt, Desserts, Cafes","Desserts, Cafes",NA,4.5,"1103 Bank St, Ottawa",45.39396,-75.68289,137,276.76,16135231116,False,$,Ottawa
The Rowan,"British, Gastropubs",Gastropubs,British,4.5,"915 Bank Street, Ottawa",45.400241,-75.686612,26,976.86,16137809292,False,$$,Ottawa
Green Door Vegetarian Restaurant & Bakery,"Vegetarian, Buffets, Vegan",Vegetarian,NA,4.5,"198 Main Street, Ottawa",45.408238,-75.677707,146,1964.66,16132349597,False,$$,Ottawa
Table Sodam,Korean,Korean,Korean,4.0,"1200 Bank St, Ottawa",45.391603,-75.681312,35,233.33,13434888036,False,$$,Ottawa
Quinn's Ale House,"Pubs, Burgers, Beer Bar","Pubs, Burgers, Beer Bar",NA,4.5,"1070 Bank Street, Ottawa",45.39461,-75.68392,21,363.09,16135232200,False,$$,Ottawa
Jack's Astor's,"Canadian (New), Burgers",Burgers,Canadian (New),4.0,"425 Marché Way, Ottawa",45.400819,-75.682937,33,1033.0,16135654862,False,$$,Ottawa
Jericho Lebanese Food,"Mediterranean, Lebanese",Mediterranean,Mediterranean,4.5,"840 Bank Street, Ottawa",45.40182,-75.68798,40,1178.62,16132351289,False,$$,Ottawa
Patty's Pub,"Irish, Pubs",Pubs,Irish,3.5,"1186 Bank Street, Ottawa",45.391905,-75.681701,34,196.02,16137302434,False,$$,Ottawa
Feleena's,"Mexican, Wine Bars, Cocktail Bars","Wine Bars, Cocktail Bars",Mexican,3.5,"742 Bank Street, Ottawa",45.403792,-75.688999,67,1406.83,16132332010,False,$$,Ottawa
Local Public Eatery,"Burgers, Salad, Cocktail Bars","Burgers, Cocktail Bars",NA,3.5,"826 Exhibition Way, Ottawa",45.399888,-75.684036,87,924.22,16132333772,False,$$,Ottawa
Pomelo Hat,"Bubble Tea, Juice Bars & Smoothies, Breakfast & Brunch",Juice Bars & Smoothies,NA,5.0,"1196 Bank Street, Ottawa",45.39163,-75.681373,8,227.93,18193197199,False,$$,Ottawa
Erling's Variety,"Tapas/Small Plates, Wine Bars",Wine Bars,NA,4.0,"225 Strathcona Avenue, Ottawa",45.407635,-75.690519,33,1850.28,16132318484,False,$$$,Ottawa
Black Squirrel Books & Espresso Bar,"Bookstores, Cafes",Cafes,NA,4.5,"1073 Bank Street, Ottawa",45.394656,-75.683501,18,347.86,16134229050,False,$,Ottawa
Allo Mon Coco,Breakfast & Brunch,Breakfast & Brunch,NA,4.0,"2277 Riverside Drive, Ottawa",45.386598,-75.6799,44,820.31,16137892626,False,$,Ottawa
Hareg Cafe,Ethiopian,Ethiopian,Ethiopian,4.5,"587 Bank Street, Ottawa",45.407946,-75.690996,28,1888.09,16136952488,False,$$,Ottawa
Wild Oat Bakery Cafe and Farm,"Bakeries, Vegan, Creperies",Bakeries,NA,4.0,"817 Bank Street, Ottawa",45.402512,-75.687964,47,1249.02,16132326232,False,$$,Ottawa
The WORKS Gourmet Burger Bistro,"Burgers, Poutineries",Burgers,NA,3.5,"580 Bank Street, Ottawa",45.40779,-75.69143,120,1888.19,16132350406,False,$$,Ottawa
CRAFT Beer Market,"Canadian (New), Breakfast & Brunch, Beer Bar",Beer Bar,Canadian (New),3.0,"975 Bank Street, Ottawa",45.398731,-75.685608,67,801.93,16134227238,False,$$,Ottawa
Sula Wok,Asian Fusion,Asian Fusion,Asian Fusion,4.5,"184 Main Street, Ottawa",45.408954,-75.678226,23,1989.45,16138907852,False,$,Ottawa
Cinnaholic,"Vegan, Bakeries, Desserts",Desserts,NA,4.5,"900 Exhibition Way, Ottawa",45.399383,-75.684093,16,867.99,16135632867,False,$,Ottawa
Ramen Isshin,Ramen,Ramen,NA,4.5,"775 Bank Street, Ottawa",45.403583,-75.688507,18,1379.17,16134216600,False,$,Ottawa
Crust & Crate Public House,"Gastropubs, Pizza","Gastropubs, Pizza",NA,3.5,"325 Marché Way, Ottawa",45.400302,-75.683608,44,971.53,16132345959,False,$$,Ottawa
Sweet Basil Restaurant,"Thai, Noodles",Thai,Thai,4.0,"1585 Bank Street, Ottawa",45.379025,-75.667414,26,1920.27,16137318424,False,$$,Ottawa
Cantina Gia,"Wine Bars, Italian",Wine Bars,Italian,4.0,"749 Bank St, Ottawa",45.404235,-75.688741,20,1452.82,16135690464,False,$$,Ottawa
Crazy Pho You,"Vietnamese, Chinese, Thai",Vietnamese,"Vietnamese, Chinese, Thai",4.5,"696 Bronson Avenue, Ottawa",45.401811,-75.700302,12,1689.89,16134210942,False,$$,Ottawa
Anthony's,Pizza,Pizza,NA,4.0,"753 Bank Street, Ottawa",45.40417,-75.6887,23,1444.77,16136959669,False,$$,Ottawa
Mad Radish,"Salad, Juice Bars & Smoothies, Sandwiches","Juice Bars & Smoothies, Sandwiches",NA,4.0,"859 Bank St, Ottawa",45.40134,-75.68722,23,1110.65,16134214564,False,$$,Ottawa
SEN Asian Cuisine,Asian Fusion,Asian Fusion,Asian Fusion,3.5,"200 Marché Way, Ottawa",45.39994,-75.684416,22,929.79,16132320111,False,$$,Ottawa
Wei's Noodle House,"Vietnamese, Noodles",Vietnamese,Vietnamese,4.0,"610 Bronson Ave, Ottawa",45.40406,-75.70179,23,1947.11,16132306815,False,$,Ottawa
Mahal Tanjore,Indian,Indian,Indian,3.5,"108 Third Avenue, Ottawa",45.40308,-75.68761,28,1304.31,16136951969,False,$,Ottawa
Milestones Restaurants,"Comfort Food, Bars, Canadian (New)",Bars,Canadian (New),3.0,"325 Marche Way, Ottawa",45.400354,-75.684062,25,976.03,16136951669,False,$$,Ottawa
The Clocktower Brew Pub,"Breweries, Pubs, Canadian (New)",Pubs,Canadian (New),3.0,"575 Bank Street, Ottawa",45.40835,-75.69108,45,1943.72,<NA>,False,$$,Ottawa
Last Train To Delhi,Indian,Indian,Indian,5.0,"103 Fourth Avenue, Ottawa",45.402736,-75.687499,5,1265.6,16138820035,False,$$,Ottawa
Kiramaki Sushi,"Sushi Bars, Japanese",Sushi Bars,Japanese,4.5,"1196 Bank Street, Ottawa",45.391698,-75.681386,3,227.92,<NA>,False,$$,Ottawa
Paper Tiger Noodle Bar,"Ramen, Asian Fusion, Cocktail Bars",Cocktail Bars,Asian Fusion,4.0,"1091 Bank Street, Ottawa",45.394153,-75.68319,5,299.15,16135212125,False,$$,Ottawa
La Strada Restaurant,Italian,Italian,Italian,4.5,"697 Bank Street, Ottawa",45.405434,-75.689566,16,1593.81,16135672066,False,$$$,Ottawa
Ad Mare Seafood,"Seafood, Food Trucks",Seafood,NA,4.0,"2265 Robertson Rd, Ottawa",45.318088,-75.844185,29,14928.35,<NA>,False,$$,Ottawa
Roost & Grills,"Pizza, Chicken Wings, Fast Food","Pizza, Fast Food",NA,4.5,"1202 Bank Street, Ottawa",45.391578,-75.681342,3,230.92,16135232255,False,$$,Ottawa
Thai Kitchen Catering Services,"Thai, Diners, Noodles",Thai,Thai,4.5,"1300 Bank Street, Ottawa",45.390123,-75.679398,3,415.55,16135264535,False,$$,Ottawa
Tenfish Sushi,Sushi Bars,Sushi Bars,NA,4.0,"1149B Bank Street, Ottawa",45.39301,-75.682372,6,219.05,16137021777,False,$$,Ottawa
