Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price,City
Le Fin Gourmet,"Canadian (New), Burgers, Breakfast & Brunch",Burgers,Canadian (New),4.5,"774 Rue Raoul-Jobin, Quebec City",46.80685,-71.24584,15,2175.48,14186825849,False,$$,Quebec
L'Oeuforie,"Steakhouses, Breakfast & Brunch",Steakhouses,NA,4.0,"850 Boulevard Pierre-Bertrand, Vanier",46.826615,-71.273329,7,897.75,14186814419,False,$$,Quebec
Casa Grecque,Greek,Greek,Greek,4.0,"955 Boulevard Pierre-Bertrand, Quebec City",46.82717,-71.27568,5,1108.44,14185271210,False,$$,Quebec
Le Soleil Rouge,Breakfast & Brunch,Breakfast & Brunch,NA,5.0,"380A Avenue Turcotte, Ville de Québec",46.82148,-71.25752,2,450.24,<NA>,False,$$,Quebec
Chez Ashton,"Burgers, Hot Dogs, Poutineries",Burgers,NA,4.0,"550 Boulevard Wilfrid-Hamel, Quebec City",46.82144,-71.251607,1,908.56,14186480895,False,$$,Quebec
Restaurant Au Vieux Duluth,Restaurants,Restaurants,NA,4.5,"371 Rue Soumande, Quebec City",46.82015,-71.25508,3,674.31,14186817274,False,$$,Quebec
Viva,"Modern European, Italian",Modern European,"Modern European, Italian",5.0,"670 Rue Bouvier, Quebec City",46.835253,-71.273372,2,1639.56,14189149956,False,$$,Quebec
Rôtisserie Scores,"Barbeque, Chicken Shop",Barbeque,NA,3.5,"710 Rue Bouvier, Quebec City",46.834365,-71.274545,7,1597.57,14186237777,False,$$,Quebec
East Side Mario's,"Italian, Pizza",Pizza,Italian,3.5,"550 Boulevard Wilfrid-Hamel, Quebec City",46.822819,-71.250561,3,987.67,14186482922,False,$$,Quebec
Pacini,Italian,Italian,Italian,2.0,"245 Rue Soumande, Quebec City",46.81822,-71.25336,2,921.03,14185278623,False,$$,Quebec
Harvey's,"Burgers, Fast Food, American","Burgers, Fast Food",American,5.0,"1095 Boul Wilfrid Hamel, Quebec",46.80879,-71.26043,1,1478.99,14186837313,False,$$,Quebec
A&W,"Fast Food, Burgers","Fast Food, Burgers",NA,3.5,"552 Boulevard Wilfrid-Hamel, Quebec City",46.822166,-71.251335,2,925.9,14186401540,False,$,Quebec
Au Petit Chalet,"Breakfast & Brunch, Burgers",Burgers,NA,3.5,"840 Rue Bouvier, Quebec City",46.833329,-71.278168,3,1670.33,14185279009,False,$,Quebec
Cécile et Ramone,"Breakfast & Brunch, Music Venues, American",Breakfast & Brunch,American,3.0,"1061, Boulevard Pierre-Bertrand, Quebec City",46.828708,-71.276805,8,1247.73,14186817625,False,$,Quebec
Domino's Pizza,"Pizza, Chicken Wings, Sandwiches","Pizza, Sandwiches",NA,4.0,"680 Boulevard Wilfrid-Hamel, Quebec City",46.814692,-71.253189,1,1141.35,14186813363,False,$$,Quebec
