Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price,City
Pai Northern Thai Kitchen,Thai,Thai,Thai,4.5,"18 Duncan Street, Toronto",43.64784,-79.38872,3522,2400.97,14169014724,False,$$,Toronto
Richmond Station,Canadian (New),Canadian (New),Canadian (New),4.5,"1 Richmond Street W, Toronto",43.651373,-79.379285,912,3222.05,16477481444,False,$$$,Toronto
Mildred's Temple Kitchen,"Breakfast & Brunch, Canadian (New)",Breakfast & Brunch,Canadian (New),4.0,"85 Hanna Avenue, Toronto",43.639911,-79.420424,1044,518.59,14165885695,False,$$,Toronto
Gusto 101,Italian,Italian,Italian,4.0,"101 Portland Street, Toronto",43.645002,-79.400309,1159,1434.36,14165049669,False,$$,Toronto
Byblos,"Mediterranean, Middle Eastern",Mediterranean,"Mediterranean, Middle Eastern",4.5,"11 Duncan Street, Toronto",43.647546,-79.388123,917,2439.99,16476600909,False,$$$$,Toronto
Lee,Asian Fusion,Asian Fusion,Asian Fusion,4.0,"497 Richmond Street W, Toronto",43.647191,-79.39935,723,1543.92,14165047867,False,$$$,Toronto
Khao San Road,Thai,Thai,Thai,4.0,"11 Charlotte Street, Toronto",43.646412,-79.39362,1710,1984.69,16473525773,False,$$,Toronto
Mamakas Taverna,"Greek, Mediterranean",Greek,"Greek, Mediterranean",4.0,"80 Ossington Avenue, Toronto",43.64596,-79.41986,242,229.83,14165195996,False,$$$,Toronto
Bar Isabel,"Spanish, Tapas Bars",Tapas Bars,NA,4.0,"797 College Street, Toronto",43.654631,-79.420774,472,1174.72,14165322222,False,$$$,Toronto
Canoe,Canadian (New),Canadian (New),Canadian (New),4.0,"66 Wellington Street  W, Toronto",43.646954,-79.382159,749,2907.85,14163640054,False,$$$$,Toronto
Dzo Viet Eatery,Vietnamese,Vietnamese,Vietnamese,4.0,"308 Dundas Street W, Toronto",43.65445,-79.39178,162,2401.32,16473468843,False,$$,Toronto
Antler Kitchen & Bar,Canadian (New),Canadian (New),Canadian (New),4.5,"1454 Dundas Street West, Toronto",43.64985,-79.43059,290,1173.96,16473458300,False,$$$,Toronto
