Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price,City
Saku,Japanese,Japanese,Japanese,4.5,"548 W Broadway, Vancouver",49.263101,-123.116675,233,38.09,16044234600,False,$$,Vancouver
Blue Water Cafe,Seafood,Seafood,NA,4.5,"1095 Hamilton St, Vancouver",49.276194,-123.120994,1079,1482.33,16046888078,False,$$$$,Vancouver
OEB Breakfast Co. Yaletown,Breakfast & Brunch,Breakfast & Brunch,NA,4.5,"1137 Marinaside Crescent, Vancouver",49.273434,-123.119272,783,1153.07,16044233447,False,$$,Vancouver
Jam Cafe on Beatty,Breakfast & Brunch,Breakfast & Brunch,NA,4.5,"556 Beatty Street, Vancouver",49.280259,-123.109638,1395,1946.74,17783791992,False,$$,Vancouver
The Flying Pig,"Canadian (New), Seafood",Seafood,Canadian (New),4.0,"1168 Hamilton Street, Vancouver",49.27501,-123.122,1307,1374.07,16045681344,False,$$,Vancouver
Chambar,Belgian,Belgian,NA,4.0,"568 Beatty Street, Vancouver",49.280146,-123.109925,1546,1930.53,16048797119,False,$$$,Vancouver
Rodney's Oyster House,Seafood,Seafood,NA,4.0,"1228 Hamilton Street, Vancouver",49.274326,-123.123131,832,1328.88,16046090080,False,$$,Vancouver
Minami,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.0,"1118 Mainland Street, Vancouver",49.275273,-123.120703,765,1373.67,16046858080,False,$$$,Vancouver
Fanny Bay Oyster Bar & Shellfish Market,"Seafood, Seafood Markets","Seafood, Seafood Markets",NA,4.5,"762 Cambie St, Vancouver",49.278752,-123.113869,790,1711.53,17783799510,False,$$,Vancouver
Anh and Chi,"Vietnamese, Cocktail Bars",Cocktail Bars,Vietnamese,4.0,"3388 Main Street, Vancouver",49.255031,-123.100882,644,1442.49,16048788883,False,$$,Vancouver
La Taqueria Pinche Taco Shop,Mexican,Mexican,Mexican,4.0,"2450 Yukon Street, Vancouver",49.263559,-123.112736,685,255.18,16045582549,False,$$,Vancouver
Peaceful Restaurant,"Chinese, Noodles",Chinese,Chinese,3.5,"110-532 W Broadway, Vancouver",49.263147,-123.116143,621,15.77,16048799878,False,$$,Vancouver
Robba da Matti,"Italian, Tapas Bars",Tapas Bars,Italian,4.0,"1127 Mainland Street, Vancouver",49.27534,-123.120897,498,1383.34,16045581174,False,$$$,Vancouver
Hokkaido Ramen Santouka,"Noodles, Ramen, Soup",Noodles,NA,4.0,"558 W Broadway, Vancouver",49.263127,-123.116892,226,50.82,16045651770,False,$$,Vancouver
Dynasty Seafood Restaurant,"Dim Sum, Seafood, Cantonese",Seafood,NA,3.5,"777 W Broadway, Vancouver",49.2636,-123.12138,306,373.45,16048768388,False,$$,Vancouver
Uma Sushi,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.5,"450 W 8th Avenue, Vancouver",49.263805,-123.113729,116,187.82,16044288588,False,$$$,Vancouver
Lupo,Italian,Italian,Italian,4.5,"869 Hamilton Street, Vancouver",49.27823,-123.1174,445,1660.46,16045692535,False,$$$,Vancouver
Marulilu Cafe,Cafes,Cafes,NA,4.0,"451 W Broadway, Vancouver",49.26338,-123.11415,288,153.79,16045684211,False,$$,Vancouver
Vij's Restaurant,Indian,Indian,Indian,4.0,"3106 Cambie Street, Vancouver",49.25754,-123.11479,402,642.8,16047366664,False,$$$,Vancouver
Published On Main,"Tapas/Small Plates, Wine Bars, Cocktail Bars","Wine Bars, Cocktail Bars",NA,4.5,"3593 Main Street, Vancouver",49.252832,-123.10116,116,1595.2,16044234840,False,$$$,Vancouver
Rogue Kitchen & Wetbar,"American, Gastropubs",Gastropubs,American,3.5,"602 West Broadway Avenue, Vancouver",49.263047,-123.117827,146,118.97,16045689400,False,$$,Vancouver
iDen & Quan Ju De Beijing Duck House,Chinese,Chinese,Chinese,3.5,"2808 Cambie Street, Vancouver",49.26021,-123.114845,108,367.3,12364777777,False,$$,Vancouver
Jinya Ramen Bar - Vancouver,Ramen,Ramen,NA,4.0,"541 Robson Street, Vancouver",49.280326,-123.117936,441,1899.74,16046999377,False,$$,Vancouver
Sushi Jin,"Japanese, Sushi Bars",Sushi Bars,Japanese,4.5,"750 Nelson Street, Vancouver",49.279579,-123.123818,138,1894.46,16045598834,False,$$$,Vancouver
Medina Cafe,"Breakfast & Brunch, Middle Eastern, Wine Bars",Wine Bars,Middle Eastern,4.0,"780 Richards Street, Vancouver",49.280443,-123.117036,2606,1909.56,16048793114,False,$$,Vancouver
Manoush'eh,"Lebanese, Mediterranean",Lebanese,Mediterranean,5.0,"620 Davie Street, Vancouver",49.276671,-123.125701,238,1640.2,16044404402,False,$,Vancouver
The Mexican Antojitos Y Cantina,Mexican,Mexican,Mexican,4.5,"1049 Granville Street, Vancouver",49.278773,-123.124027,406,1814.97,16045690955,False,$$,Vancouver
Cactus Club Cafe,"Canadian (New), Cocktail Bars",Cocktail Bars,Canadian (New),3.5,"575 Broadway W, Vancouver",49.263373,-123.11713,146,66.46,16047146000,False,$$,Vancouver
Bodega On Main,"Spanish, Tapas/Small Plates, Tapas Bars",Tapas Bars,NA,4.0,"1014 Main Street, Vancouver",49.275279,-123.099711,214,1820.37,16045658815,False,$$,Vancouver
Yu Shang Hot Pot,Hot Pot,Hot Pot,NA,4.5,"202-950 W Broadway, Vancouver",49.263149,-123.125629,80,682.46,16045646686,False,$$,Vancouver
Seaport City Seafood Restaurant,"Dim Sum, Seafood, Cantonese",Seafood,NA,4.5,"2425 Cambie Street, Vancouver",49.263921,-123.115152,32,105.78,16042227288,False,$$,Vancouver
Fable Diner,"Diners, American",Diners,American,4.0,"151 E Broadway, Vancouver",49.263075,-123.101982,332,1067.73,16045633463,False,$$,Vancouver
Salmon n' Bannock,Canadian (New),Canadian (New),Canadian (New),4.5,"1128 W Broadway, Vancouver",49.263138,-123.12967,207,980.98,16045688971,False,$$,Vancouver
Banana Leaf,"Malaysian, Singaporean",Malaysian,Malaysian,4.0,"820 W Broadway, Vancouver",49.26302,-123.1225,301,454.46,16047316333,False,$$,Vancouver
MeeT on Main,"Comfort Food, Burgers",Burgers,NA,4.0,"4288 Main Street, Vancouver",49.246715,-123.100831,477,2154.21,16046961010,False,$$,Vancouver
Lotus Seed Vegan,Vegan,Vegan,NA,4.0,"736 W Broadway, Vancouver",49.263175,-123.12049,129,341.77,16045633368,False,$$,Vancouver
Black Rice Izakaya,"Japanese, Sushi Bars, Tapas Bars","Sushi Bars, Tapas Bars",Japanese,4.0,"782 Cambie Street, Vancouver",49.278444,-123.114329,300,1691.98,17783790416,False,$$,Vancouver
Tasty Indian Bistro,Indian,Indian,Indian,4.0,"1261 Hamilton Street, Vancouver",49.274401,-123.123682,217,1349.93,16044233300,False,$$,Vancouver
Westcoast Poke,"Hawaiian, Poke",Hawaiian,NA,4.0,"463 W 8th Avenue, Vancouver",49.26409,-123.114042,172,194.29,17783795344,False,$$,Vancouver
Indian Roti Kitchen,Indian,Indian,Indian,4.5,"2961 Cambie Street, Vancouver",49.25901,-123.11538,160,477.22,16048763767,False,$$,Vancouver
Shizen Ya,"Japanese, Sushi Bars, Bars","Sushi Bars, Bars",Japanese,4.0,"965 Hornby Street, Vancouver",49.280884,-123.124628,589,2050.43,16045680013,False,$$,Vancouver
Zakkushi Dining On Main,"Japanese, Tapas/Small Plates",Japanese,Japanese,4.0,"4075 Main Street, Vancouver",49.249101,-123.101546,220,1902.71,16048749455,False,$$,Vancouver
Burgoo Bistros,"Comfort Food, Bistros",Comfort Food,NA,4.0,"3096 Main Street, Vancouver",49.25763,-123.10084,502,1282.38,16048731441,False,$$,Vancouver
Elisa,Steakhouses,Steakhouses,NA,4.0,"1109 Hamilton Street, Vancouver",49.275956,-123.121361,204,1459.25,16043625443,False,$$$$,Vancouver
AJ's Brooklyn Pizza Joint,Pizza,Pizza,NA,4.5,"325 East Broadway, Vancouver",49.262944,-123.098307,140,1300.82,16044285805,False,$$,Vancouver
Zarak By Afghan Kitchen,"Afghan, Cocktail Bars, Breakfast & Brunch",Cocktail Bars,NA,4.5,"2102 Main Street, Vancouver",49.266224,-123.100609,79,1182.55,16043183456,False,$$,Vancouver
Yolks,"Coffee & Tea, Breakfast & Brunch",Coffee & Tea,NA,3.5,"546 W Broadway, Vancouver",49.263114,-123.116353,353,29.35,16045599655,False,$$,Vancouver
Burgoo Bistro,"Comfort Food, Bistros",Comfort Food,NA,4.0,"1100 Burrard Street, Vancouver",49.27968,-123.12763,174,2020.14,16044161444,False,$$,Vancouver
The Fish Counter,"Fish & Chips, Seafood",Seafood,NA,4.5,"3825 Main Street, Vancouver",49.25076,-123.10136,357,1762.63,16048763474,False,$$,Vancouver
Menya Raizo,Ramen,Ramen,NA,4.0,"401 W Broadway, Vancouver",49.26336,-123.11314,78,226.91,16048290697,False,$$,Vancouver
Cactus Club Cafe,"Canadian (New), Cocktail Bars",Cocktail Bars,Canadian (New),4.0,"1085 Canada Place, Vancouver",49.289518,-123.118108,853,1403.44,16046207410,False,$$,Vancouver
Cardero's Restaurant & Marine Pub,"Seafood, Cajun/Creole, Canadian (New)",Seafood,Canadian (New),4.0,"1583 Coal Harbour Quay, Vancouver",49.291456,-123.127576,659,938.9,16046697666,False,$$$,Vancouver
Nightingale,"Live/Raw Food, Canadian (New), Pizza",Pizza,Canadian (New),4.0,"1017 West Hastings Street, Vancouver",49.287411,-123.117771,491,1612.99,16046959500,False,$$$,Vancouver
Guu with Garlic,"Japanese, Tapas/Small Plates",Japanese,Japanese,4.5,"1698 Robson Street, Vancouver",49.290249,-123.133814,1058,1126.74,16046858678,False,$$,Vancouver
Kingyo,"Japanese, Tapas/Small Plates",Japanese,Japanese,4.5,"871 Denman Street, Vancouver",49.29061,-123.13714,1100,1171.18,16046081677,False,$$,Vancouver
Tap & Barrel - Convention Centre,Comfort Food,Comfort Food,NA,4.0,"1055 Canada Place, Vancouver",49.289846,-123.116857,337,1429.14,16042359827,False,$$,Vancouver
Botanist,"Canadian (New), Diners, Breakfast & Brunch",Canadian (New),Canadian (New),4.5,"1038 Canada Place, Vancouver",49.28831,-123.116727,384,1608.13,16046955500,False,$$$,Vancouver
Miku,"Japanese, Sushi Bars, Vegetarian",Sushi Bars,Japanese,4.5,"200 Granville Street, Vancouver",49.286918,-123.112763,2251,1869.22,16045683900,False,$$$,Vancouver
Stanley's Bar & Grill,"Bars, American",Bars,American,3.5,"610 Pipeline Road, Vancouver",49.299708,-123.133901,107,335.88,16046023088,False,$$,Vancouver
Maruhachi Ra-men,Ramen,Ramen,NA,4.5,"780 Bidwell Street, Vancouver",49.290569,-123.133395,762,1071.97,<NA>,False,$$,Vancouver
Five Sails Restaurant,French,French,French,4.5,"401-999 Canada Place, Vancouver",49.288031,-123.113292,184,1750.24,16048442855,False,$$$$,Vancouver
Showcase Restaurant & Bar,"Seafood, Bars","Seafood, Bars",NA,4.0,"1122 West Hastings Street, Vancouver",49.287986,-123.120441,130,1474.59,16046394040,False,$$,Vancouver
Joe Fortes Seafood & Chop House,"Seafood, Steakhouses","Seafood, Steakhouses",NA,4.0,"777 Thurlow Street, Vancouver",49.28493,-123.12473,1257,1687.29,16046691940,False,$$$,Vancouver
Forage,"Canadian (New), Breakfast & Brunch",Canadian (New),Canadian (New),4.0,"1300 Robson Street, Vancouver",49.28707,-123.12925,709,1422.75,16046611400,False,$$,Vancouver
Zakkushi on Denman,"Japanese, Tapas/Small Plates, Barbeque",Barbeque,Japanese,4.0,"823 Denman Street, Vancouver",49.29108,-123.13643,257,1083.98,16046851136,False,$$$,Vancouver
Guu Original Thurlow,"Japanese, Tapas Bars",Tapas Bars,Japanese,4.0,"838 Thurlow Street, Vancouver",49.283979,-123.125568,796,1782.62,16046858817,False,$$,Vancouver
