Name,Categories,Cuisine Types,Nationalities,Rating,Address,Res_Latitude,Res_Longitude,Reviews,Distance,Phone,Closed,Price,City
Sun Fortune Restaurant,Chinese,Chinese,Chinese,4.5,"2077 Pembina Hwy, Winnipeg",49.814192,-97.152262,36,1571.46,12042696868,False,$$,Winnipeg
Tehran Market & Cafe,"Mediterranean, Cafes",Cafes,Mediterranean,4.5,"8-1875 Pembina Highway, Winnipeg",49.822556,-97.153154,9,1069.94,12047834726,False,$$,Winnipeg
TH Dang Restaurant,Vietnamese,Vietnamese,Vietnamese,4.0,"1425 Pembina Highway, Winnipeg",49.837431,-97.151375,30,1762.99,<NA>,False,$$,Winnipeg
Delicious Vegetarian Restaurant,"Vegetarian, Vegan",Vegetarian,NA,4.5,"1467 Pembina Highway, Winnipeg",49.836045,-97.151037,20,1669.45,12044771530,False,$$,Winnipeg
Nicolino's,Italian,Italian,Italian,3.5,"4-2077 Pembina Highway, Winnipeg",49.815574,-97.153198,21,1541.5,12042695004,False,$$$,Winnipeg
IGI BBQ and Sushi Bistro,"Sushi Bars, Korean, Barbeque","Sushi Bars, Barbeque",Korean,3.5,"10-1875 Pembina Highway, Winnipeg",49.822563,-97.153183,26,1127.38,12044779909,False,$$,Winnipeg
Stella's,"Breakfast & Brunch, Bakeries, Sandwiches",Sandwiches,NA,3.0,"1463 Pembina Highway, Winnipeg",49.836316,-97.151069,34,1688.9,12042752001,False,$$,Winnipeg
Coconut Island Thai Cuisine,Thai,Thai,Thai,5.0,"1607 Pembina Highway, Winnipeg",49.83158,-97.15153,5,1350.77,12046158288,False,$$,Winnipeg
Pony Corral Restaurant & Bar,"Greek, Lounges, Steakhouses",Steakhouses,Greek,2.5,"1700 Pembina Highway, Winnipeg",49.828672,-97.151649,31,1260.32,12042753687,False,$$,Winnipeg
North Garden Restaurant,"Chinese, Asian Fusion",Chinese,"Chinese, Asian Fusion",2.5,"33 University Crescent, Winnipeg",49.817414,-97.150364,26,1558.17,12042752591,False,$$,Winnipeg
Dancing Noodle,Chinese,Chinese,Chinese,3.5,"1393A Pembina Highway, Winnipeg",49.83837,-97.15172,8,1832.57,12046910205,False,$,Winnipeg
Best Pizza & Donair,"Mediterranean, Donairs, Pizza",Pizza,Mediterranean,3.5,"1469 Pembina Highway, Winnipeg",49.835964,-97.151016,18,1690.79,12042750444,False,$,Winnipeg
Golden Loong Restaurant,Chinese,Chinese,Chinese,3.5,"2237 Pembina Highway, Winnipeg",49.809948,-97.153633,13,2029.03,12045046766,False,$,Winnipeg
A&W,"Fast Food, Burgers","Fast Food, Burgers",NA,4.0,"1875 Pembina Highway, Winnipeg",49.821226,-97.154267,4,1096.19,12042695706,False,$$,Winnipeg
Huang Pu River Restaurant,Chinese,Chinese,Chinese,3.5,"1875 Pembina Hwy, Winnipeg",49.822556,-97.153154,6,1088.75,12042614407,False,$$,Winnipeg
Lot 88,"Bars, Steakhouses","Bars, Steakhouses",NA,2.0,"2005 Pembina Hwy, Winnipeg",49.817366,-97.153026,11,1412.06,12042693496,False,$$,Winnipeg
Kimchi Sushi,"Korean, Sushi Bars",Sushi Bars,Korean,4.0,"1270 Pembina Highway, Winnipeg",49.84291,-97.15282,6,2204.15,12042618888,False,$$,Winnipeg
Mr Calzone,"Pizza, Mediterranean, Halal",Pizza,Mediterranean,4.5,"1254 Pembina Highway, Winnipeg",49.843132,-97.153025,4,2213.39,12044524203,False,$$,Winnipeg
Dagu rice noodle,Chinese,Chinese,Chinese,1.5,"102-1855 Pembina Highway, Winnipeg",49.822914,-97.153178,3,976.63,12042191597,False,$$,Winnipeg
Kiwa Korean Restaurant,Korean,Korean,Korean,5.0,"2077 Pembina Highway, Winnipeg",49.814742,-97.152136,1,1571.46,12042613131,False,$$,Winnipeg
Ta.Ke Sushi Take-Out,Sushi Bars,Sushi Bars,NA,4.0,"1235 Pembina Highway, Winnipeg",49.84352,-97.15391,6,2208.2,12042840028,False,$$,Winnipeg
George's Inn & Submarine,"Persian/Iranian, Diners, Burgers",Burgers,Persian/Iranian,4.0,"1395 Pembina Highway, Winnipeg",49.838417,-97.151634,3,1815.68,12044522258,False,$$,Winnipeg
Summer Palace,Chinese,Chinese,Chinese,3.0,"1755 Pembina Hwy, Winnipeg",49.82635,-97.152764,5,1068.46,12042619241,False,$$$,Winnipeg
McDonald's,"Fast Food, Burgers, Coffee & Tea","Fast Food, Burgers, Coffee & Tea",NA,3.5,"2027 Pembina, Winnipeg",49.81661,-97.15257,2,1499.4,12049496019,False,$$$,Winnipeg
Gondola Pizza Restaurants,"Pizza, Italian",Pizza,Italian,2.0,"1292 Pembina Hwy, Winnipeg",49.84174,-97.15294,8,2078.7,12049492910,False,$$,Winnipeg
Quesada Burritos & Tacos,Mexican,Mexican,Mexican,3.5,"1566 Pembina Highway, Winnipeg",49.83274,-97.15018,2,1495.26,12044755401,False,$$,Winnipeg
